,NOR,VER,LEC,PIA,SAI,PER,RUS,HAM,GAS,ALO,HUL,RIC,STR,ALB,OCO,SAR,TSU,MAG,BOT,ZHO
1.0,0.9629999999997381,0.0,3.406999999999698,2.7229999999999563,5.558999999999742,4.015999999999622,1.8139999999998508,7.364999999999782,4.739000000000033,4.810999999999694,6.516999999999825,8.034999999999854,5.788000000000011,8.61999999999989,8.24599999999964,9.174999999999727,6.962999999999738,10.856999999999971,7.445999999999913,9.699999999999818
2.0,0.9909999999999854,0.0,3.9960000000000946,2.856999999999971,6.730000000000018,4.389000000000124,2.0970000000002074,9.019999999999982,5.528999999999996,6.097000000000207,7.871999999999844,11.039999999999964,7.195000000000164,11.628000000000156,11.369000000000142,12.099999999999909,9.63799999999992,12.237999999999829,9.742999999999938,12.932000000000244
3.0,1.356000000000222,0.0,4.3400000000001455,2.9900000000002365,7.47400000000016,4.679000000000087,2.4980000000000473,9.378000000000156,6.312000000000353,6.831000000000131,8.988000000000284,12.576000000000022,8.24200000000019,13.56899999999996,13.006000000000313,14.307999999999993,10.71600000000035,19.57300000000032,12.0,15.00400000000036
4.0,1.2280000000000655,0.0,4.03899999999976,3.2359999999998763,7.864999999999782,4.813000000000102,2.699000000000069,9.920000000000073,6.813999999999851,7.059999999999945,9.596000000000004,13.545999999999822,8.587999999999738,14.884000000000015,14.24499999999989,15.811999999999898,11.240999999999985,19.503999999999905,12.786000000000058,16.679999999999836
5.0,1.3179999999997563,0.0,4.66399999999976,3.8150000000000546,8.64599999999973,5.378999999999905,3.0799999999999272,10.592999999999847,7.367999999999938,8.014000000000124,10.172000000000025,14.480000000000018,9.342999999999847,16.141000000000076,15.391000000000076,17.117999999999938,11.610999999999876,20.192000000000007,13.947999999999865,18.664999999999964
6.0,1.3880000000003747,0.0,5.074000000000069,4.188000000000102,9.067000000000007,5.610000000000127,3.3730000000000473,11.032000000000153,7.764000000000124,8.559000000000196,10.748000000000047,15.401000000000295,10.075000000000273,16.945000000000164,16.702999999999975,18.623000000000047,12.67599999999993,20.954999999999927,14.675000000000182,20.490999999999985
7.0,1.5020000000004075,0.0,5.430000000000291,4.861000000000331,9.634000000000015,6.191000000000258,3.688000000000102,11.814000000000306,8.396000000000186,9.445000000000164,11.506000000000313,16.567000000000007,11.14700000000039,18.222000000000207,17.526000000000295,20.240000000000236,13.662000000000262,22.732000000000426,15.833000000000084,22.54200000000037
8.0,1.3240000000000691,0.0,5.623999999999796,5.1729999999997744,9.490999999999985,6.951000000000022,3.9609999999997854,12.938000000000102,9.13000000000011,11.092999999999847,12.574999999999818,17.590000000000146,11.722999999999956,19.141000000000076,18.878000000000156,21.48199999999997,14.396000000000186,23.532000000000153,16.690000000000055,24.759000000000015
9.0,1.5489999999999782,0.0,6.101999999999862,5.738000000000284,10.074999999999818,7.596999999999753,4.3289999999997235,13.833999999999833,9.787000000000262,12.28899999999976,13.695999999999913,18.832000000000335,12.925000000000182,20.787000000000262,19.909999999999854,23.15899999999965,15.671000000000276,24.774000000000342,18.184000000000196,26.536000000000058
10.0,1.386000000000422,0.0,6.261000000000422,5.795000000000073,10.456000000000131,7.850000000000364,4.59900000000016,14.284999999999854,10.29700000000048,13.36200000000008,15.234999999999673,20.021999999999935,13.804000000000087,21.623000000000502,21.207000000000335,24.54700000000048,16.587999999999738,25.873000000000502,19.306000000000495,28.234999999999673
