,VER,NOR,LEC,PIA,SAI,HAM,RUS,PER,STR,TSU,HUL,MAG,RIC,OCO,ZHO,GAS,SAR,BOT,ALO,ALB
1.0,0.0,0.8830000000002656,1.6990000000000691,2.8450000000002547,2.268000000000029,4.230000000000018,3.617000000000189,5.894000000000233,7.594000000000051,5.375,4.867000000000189,9.010000000000218,6.470000000000255,7.068000000000211,9.900000000000091,8.488000000000284,10.195000000000164,9.39200000000028,10.76700000000028,8.130999999999858
2.0,0.0,0.9600000000000364,2.0289999999999964,3.5599999999999454,2.7739999999998872,5.474999999999909,4.583000000000084,7.8969999999999345,10.113000000000284,7.144999999999982,6.382000000000062,11.726999999999862,8.668999999999869,9.394999999999982,13.242999999999938,11.106000000000222,13.840999999999894,12.420000000000073,14.356999999999971,10.650000000000091
3.0,0.0,0.9720000000002074,2.088000000000193,3.4960000000000946,2.868000000000393,5.825000000000273,4.846000000000004,8.938000000000102,11.597000000000207,8.031000000000404,7.210000000000036,13.592000000000098,9.88000000000011,10.813000000000102,15.089000000000397,12.986000000000331,15.753000000000156,14.3100000000004,16.494000000000142,12.430000000000291
4.0,0.0,1.5059999999998581,2.6959999999999127,4.201999999999771,3.538000000000011,6.869000000000142,5.802999999999884,10.44900000000007,13.275000000000091,9.429999999999836,8.695999999999913,15.438000000000102,11.43600000000015,12.371000000000095,17.463999999999942,15.02099999999973,18.072000000000116,16.424999999999727,18.893999999999778,14.336999999999989
5.0,0.0,1.818000000000211,3.0839999999998327,4.73700000000008,4.079999999999927,7.679000000000087,6.543999999999869,11.867999999999938,14.79300000000012,10.862999999999829,10.146000000000186,17.385999999999967,12.913000000000011,13.903999999999996,19.295000000000073,16.769999999999982,20.039999999999964,18.485000000000127,20.858000000000175,15.960000000000036
6.0,0.0,1.8589999999999236,3.2590000000000146,5.175999999999931,4.372000000000298,8.38000000000011,7.16800000000012,13.200000000000273,16.264000000000124,12.235000000000127,11.639000000000124,18.75500000000011,14.45699999999988,15.472000000000207,21.07400000000007,18.30099999999993,21.927000000000135,20.032000000000153,22.751999999999953,17.564000000000306
7.0,0.0,1.9140000000002146,3.4160000000001673,5.38799999999992,4.7400000000002365,8.958000000000084,7.567000000000007,14.972999999999956,17.93100000000004,14.039000000000215,13.131000000000313,20.407000000000153,16.01700000000028,17.166000000000167,23.177000000000135,19.8720000000003,24.037000000000262,21.73199999999997,29.332000000000335,19.19100000000026
8.0,0.0,2.1489999999998872,3.769999999999982,6.148999999999887,5.4090000000001055,9.78899999999976,8.179999999999836,16.548999999999978,19.56100000000015,15.414999999999964,14.516999999999825,22.05600000000004,17.628999999999905,18.827999999999975,25.213000000000193,26.054999999999836,26.05099999999993,28.235000000000127,54.44999999999982,25.072000000000116
9.0,0.0,2.6579999999999018,4.442000000000007,7.114000000000033,6.358999999999924,10.755999999999858,9.228000000000065,18.596999999999753,21.58699999999999,17.087999999999738,16.148999999999887,23.83299999999963,19.53899999999976,21.0,27.822999999999865,50.815000000000055,28.77599999999984,53.52799999999979,55.62300000000005,107.50899999999956
10.0,0.0,2.8369999999995343,4.735999999999876,7.606999999999971,6.851999999999862,11.206999999999425,9.730999999999767,20.048999999999978,22.72699999999986,18.50799999999981,17.59399999999914,25.7529999999997,20.9399999999996,23.708999999999833,29.860999999999876,51.09299999999985,30.92199999999957,53.96399999999994,56.021999999999935,139.79199999999946
11.0,0.0,3.1530000000002474,4.998000000000502,7.913000000000466,7.2830000000003565,11.793999999999869,10.311999999999898,21.29200000000037,24.208999999999833,20.07000000000062,19.225000000000364,27.726000000000568,27.14300000000003,25.569000000000415,31.850000000000364,51.710000000000036,33.2480000000005,54.53400000000056,56.81700000000001,140.625
12.0,0.0,3.3040000000000873,5.0600000000004,8.735999999999876,7.895999999999731,12.26299999999992,10.845000000000255,22.452000000000226,25.336999999999534,25.537999999999556,20.509000000000015,29.365999999999985,50.634000000000015,27.323999999999614,33.75500000000011,52.32899999999972,35.3100000000004,55.21799999999985,57.25799999999981,140.89599999999973
13.0,0.0,3.9659999999994398,5.429000000000087,9.550999999999476,8.569999999999709,12.956999999999425,11.638999999999214,23.737999999999374,26.84099999999944,48.07199999999921,26.417999999999665,31.247999999999593,51.13000000000011,29.157999999999447,35.748999999999796,53.26299999999992,37.8179999999993,55.75,57.82899999999972,141.3139999999994
14.0,0.0,4.699999999999818,6.107999999999265,10.221999999999753,9.225999999999658,14.054999999999382,12.474999999999454,24.583999999999833,28.3179999999993,48.02599999999984,49.78899999999976,33.35599999999977,52.402000000000044,31.036999999999352,37.568999999999505,54.11999999999989,39.847999999999956,56.5,58.53699999999935,142.17099999999937
15.0,0.0,5.043000000000575,6.249000000000706,10.57800000000043,9.51299999999992,14.46100000000024,12.996000000000095,24.94300000000021,29.337000000000444,48.46399999999994,50.384000000000015,35.2480000000005,53.08399999999983,32.720000000000255,39.07800000000043,54.75200000000041,41.5630000000001,57.15900000000056,59.14400000000023,142.6210000000001
