,PIA,NOR,HAM,LEC,VER,SAI,PER,RUS,TSU,STR,ALO,RIC,HUL,ALB,MAG,BOT,SAR,OCO,ZHO,GAS
1.0,0.0,2.643000000000029,3.494999999999891,4.472000000000207,1.5900000000001455,5.621000000000095,10.695000000000164,10.168999999999869,8.300000000000182,6.074000000000069,5.130000000000109,7.583000000000084,9.175000000000182,6.494000000000142,7.0909999999998945,8.684000000000196,10.876999999999953,9.664999999999964,11.217000000000098,11.851999999999862
2.0,0.0,2.8450000000002547,4.289000000000215,5.510000000000218,1.5779999999999745,7.621000000000095,14.028999999999996,13.048999999999978,10.722999999999956,8.412000000000262,7.177000000000135,10.146999999999935,13.958000000000084,8.896999999999935,9.733000000000175,11.22400000000016,13.679999999999836,12.338000000000193,14.60400000000027,15.135000000000218
3.0,0.0,2.836999999999989,4.567000000000007,5.756000000000313,1.2520000000004075,8.09100000000035,15.679000000000087,14.66000000000031,13.003000000000156,10.482000000000426,9.684000000000196,12.291000000000167,30.82300000000032,11.079000000000178,11.932000000000244,13.409000000000106,15.233000000000175,14.240000000000236,16.333000000000084,16.79000000000042
4.0,0.0,2.34900000000016,4.730999999999767,6.186999999999898,3.211999999999989,9.018999999999778,17.927999999999884,16.884000000000015,15.079999999999927,12.43600000000015,11.577999999999975,14.384000000000015,30.2170000000001,12.896999999999935,13.728000000000065,15.637000000000171,17.38299999999981,16.539999999999964,18.57900000000018,19.083999999999833
5.0,0.0,2.356999999999971,4.936000000000149,6.503000000000156,3.394999999999982,9.742999999999938,20.593000000000302,19.30500000000029,17.171000000000276,14.566000000000258,13.760000000000218,16.597999999999956,30.626999999999953,15.2800000000002,16.08100000000013,18.04800000000023,20.062000000000353,18.902000000000044,21.28099999999995,21.882000000000062
6.0,0.0,2.55600000000004,5.244000000000142,6.776000000000295,3.8040000000000873,10.42300000000023,22.757000000000062,21.42599999999993,19.403999999999996,16.557999999999993,15.768000000000029,18.46900000000005,31.468000000000302,19.49200000000019,20.30099999999993,20.222000000000207,22.29800000000023,23.608999999999924,23.42599999999993,24.17599999999993
7.0,0.0,2.530999999999949,5.3270000000002256,6.6909999999998035,4.074000000000069,10.36200000000008,23.88700000000017,21.88500000000022,19.840000000000146,17.26200000000017,17.81899999999996,20.659000000000106,32.36000000000013,37.57999999999993,38.621000000000095,21.079999999999927,23.25799999999981,41.26000000000022,27.46199999999999,25.570999999999913
8.0,0.0,2.6660000000001673,5.670000000000073,7.180000000000291,4.47400000000016,10.878000000000156,25.046000000000276,23.15000000000009,20.577000000000226,17.769999999999982,37.21900000000005,39.85100000000011,33.297000000000025,38.31200000000035,39.30500000000029,22.376000000000204,26.802000000000135,41.6550000000002,45.98199999999997,27.569000000000415
9.0,0.0,2.6849999999999454,5.829999999999927,7.282000000000153,4.711999999999989,10.961999999999989,25.037000000000262,23.7800000000002,20.912000000000262,18.164999999999964,37.98100000000022,40.35299999999961,34.32500000000027,38.99800000000005,39.95100000000048,23.046000000000276,45.3420000000001,42.05800000000045,46.625000000000455,28.77300000000014
10.0,0.0,2.9359999999996944,6.204999999999927,7.628999999999905,4.969000000000051,11.310999999999694,25.627000000000407,24.579999999999927,21.350000000000364,18.837000000000444,38.89900000000034,41.240999999999985,35.04600000000028,39.85199999999986,40.722999999999956,23.798999999999978,45.922999999999774,42.86200000000008,47.30000000000018,29.68000000000029
11.0,0.0,3.118999999999687,6.5219999999999345,8.199000000000524,5.280999999999949,11.912000000000262,26.57800000000043,25.76600000000053,21.926000000000386,19.53899999999976,39.46799999999985,42.08399999999983,35.77000000000044,40.36200000000008,41.4970000000003,24.886999999999716,46.59600000000046,43.66100000000006,47.97599999999966,32.07899999999972
12.0,0.0,3.268000000000029,7.016999999999825,8.716999999999643,5.8100000000004,12.574000000000524,27.810999999999694,26.966999999999643,22.75799999999981,20.458999999999833,40.38799999999992,43.001000000000204,36.9350000000004,41.358000000000175,42.261999999999716,25.962999999999738,47.4380000000001,44.806000000000495,48.746000000000095,33.72900000000027
13.0,0.0,3.72400000000016,7.829999999999927,9.472000000000662,6.692000000000007,13.676000000000386,29.118000000000393,28.41400000000067,24.1850000000004,21.938000000000102,41.90900000000056,44.38300000000072,38.33300000000054,42.85200000000077,43.91400000000067,27.353000000000065,48.52600000000075,46.22100000000046,50.36500000000069,35.42100000000028
14.0,0.0,3.4080000000003565,7.889000000000124,9.624000000000706,6.761000000000422,13.920000000000073,30.35900000000038,29.468000000000757,24.871000000000095,25.35200000000077,42.16600000000017,45.08400000000074,38.785000000000764,43.23700000000008,44.51800000000003,28.295000000000073,48.926000000000386,46.78300000000036,51.05000000000018,36.41900000000078
15.0,0.0,3.443000000000211,8.152000000000044,10.171000000000276,7.0,14.44000000000051,31.363000000000284,30.379000000000815,25.368000000000393,45.92100000000028,43.24200000000019,47.027000000000044,39.56700000000001,44.07000000000062,45.55500000000029,29.157000000000153,50.05799999999999,48.225000000000364,52.21600000000035,37.470000000000255
16.0,0.0,3.5020000000004075,11.161000000000058,10.82800000000043,7.541000000000167,15.082000000000335,32.49000000000069,31.44000000000051,26.02900000000045,46.00600000000031,44.572000000000116,48.460000000000036,41.21900000000005,45.33400000000074,47.6869999999999,32.93000000000029,51.41400000000067,49.76800000000003,53.59600000000046,38.96100000000024
17.0,0.0,5.738999999999578,27.22899999999936,11.432999999999993,7.983000000000175,15.85399999999936,33.11899999999969,31.91699999999946,26.873999999999796,47.391999999999825,45.960000000000036,49.74299999999948,42.9399999999996,47.029999999999745,49.22599999999966,51.58299999999963,53.347999999999956,51.15099999999984,55.23199999999997,40.41600000000017
18.0,0.0,21.049999999999272,24.08299999999963,9.643999999999323,6.177999999999884,14.208999999999833,31.810999999999694,30.51299999999992,26.47899999999936,45.90299999999934,44.45100000000002,49.04999999999927,42.72999999999956,47.371000000000095,48.28200000000015,51.0630000000001,52.88999999999942,50.72599999999966,54.73899999999958,39.628999999999905
19.0,11.777999999999338,14.127999999999702,16.58299999999963,3.5679999999993015,0.0,8.280999999999949,26.0,24.685999999999694,21.15399999999954,40.32099999999991,38.83299999999963,43.982999999999265,37.5619999999999,42.32099999999991,43.25799999999981,45.180999999999585,47.85999999999967,46.844999999999345,50.264000000000124,34.539999999999964
20.0,10.88000000000011,13.082000000000335,15.41400000000067,3.5800000000008367,0.0,8.567000000000007,26.326000000000022,24.932999999999993,21.911000000000058,40.56700000000001,39.139000000000124,44.949000000000524,38.340000000000146,43.017000000000735,44.28099999999995,45.59600000000046,48.97200000000066,47.58300000000054,51.68700000000081,35.50700000000052
21.0,7.3270000000002256,9.718000000000757,11.856999999999971,1.0840000000007421,0.0,8.864000000000487,24.34100000000035,23.09400000000005,20.353000000000065,38.603000000000065,37.32900000000063,43.4950000000008,36.6220000000003,41.38000000000011,42.871000000000095,44.02600000000075,47.60600000000068,46.220000000000255,50.56800000000021,34.48199999999997
22.0,5.03899999999976,7.67699999999968,9.481999999999971,0.0,16.233000000000175,25.472999999999956,23.90400000000045,22.538000000000466,20.34400000000005,37.85500000000047,36.93299999999999,43.340000000000146,36.48400000000038,40.948999999999614,42.663000000000466,44.05799999999999,47.67900000000009,46.14000000000033,50.404999999999745,34.501000000000204
