,LEC,PIA,NOR,SAI,HAM,VER,RUS,PER,ALB,MAG,ALO,COL,RIC,OCO,GAS,BOT,HUL,ZHO,STR,TSU
1.0,0.55600000000004,0.0,1.3479999999999563,1.7219999999997526,2.050999999999931,2.730999999999767,3.888999999999669,4.074999999999818,4.342000000000098,6.307999999999993,4.788000000000011,8.261999999999716,5.480999999999767,7.808999999999742,7.25,8.751999999999953,7.895999999999731,9.108999999999924,8.186999999999898,7.61200000000008
2.0,0.8359999999997854,0.0,1.6900000000000546,2.336999999999989,2.9780000000000655,3.7849999999998545,4.8279999999999745,5.369999999999891,6.23700000000008,8.396999999999935,6.907999999999902,10.990999999999985,7.541999999999916,9.529999999999745,8.739999999999782,12.01299999999992,10.291999999999916,12.713999999999942,11.413000000000011,10.034000000000106
3.0,0.7539999999999054,0.0,1.53899999999976,2.4339999999997417,3.3469999999997526,4.378999999999905,5.299999999999727,5.8659999999999854,7.257999999999811,9.7199999999998,8.056999999999789,12.307999999999993,8.869000000000142,10.735000000000127,10.125,13.670000000000073,11.465000000000146,14.449999999999818,12.885999999999967,11.438000000000102
4.0,0.8689999999996871,0.0,2.0119999999997162,2.824999999999818,4.373999999999796,5.3169999999995525,6.366999999999734,6.975999999999658,9.08999999999969,11.396999999999935,9.772999999999683,13.862999999999829,10.661999999999807,12.336999999999989,11.824999999999818,15.298999999999978,13.310999999999694,15.980999999999767,14.44399999999996,12.940999999999804
5.0,0.8119999999998981,0.0,2.02599999999984,3.1709999999998217,4.485000000000127,5.875,7.201000000000022,7.76299999999992,10.469000000000051,12.878999999999905,11.331000000000131,16.353999999999814,12.252999999999702,14.24499999999989,13.52599999999984,18.880999999999858,20.38000000000011,20.57699999999977,17.01800000000003,20.521999999999935
6.0,0.8719999999998436,0.0,2.1909999999998035,3.2100000000000364,4.800999999999931,6.367999999999938,7.699000000000069,8.264999999999873,11.811999999999898,14.177999999999884,12.638999999999669,17.807999999999993,13.548999999999978,15.326000000000022,14.96499999999969,20.777000000000044,55.95499999999993,21.915999999999713,17.972999999999956,24.391999999999825
7.0,0.8880000000003747,0.0,2.3040000000000873,3.507000000000062,5.588000000000193,6.992000000000189,8.327000000000226,9.281000000000404,13.384000000000015,15.585000000000036,14.171000000000276,20.59400000000005,14.844000000000051,16.914000000000215,16.36700000000019,22.718000000000302,57.419000000000324,23.87900000000036,19.763000000000375,40.29300000000012
8.0,0.887000000000171,0.0,2.4079999999999018,3.8070000000002437,5.889000000000124,7.3400000000001455,8.972999999999956,9.896999999999935,14.777000000000044,16.981000000000222,15.293999999999869,22.409000000000106,16.266999999999825,18.396999999999935,18.26200000000017,24.353999999999814,58.19999999999982,25.720000000000255,20.99200000000019,
9.0,0.8739999999997963,0.0,2.6970000000001164,4.206000000000131,6.548999999999978,8.015000000000327,9.712999999999738,10.498999999999796,16.06800000000021,18.39099999999962,16.88799999999992,24.256000000000313,17.707000000000335,19.39099999999962,21.034999999999854,26.16700000000037,59.01599999999962,27.659999999999854,22.64099999999962,
10.0,1.2289999999993597,0.0,3.0109999999995125,4.813000000000102,7.380999999999403,8.902000000000044,11.10399999999936,11.26299999999992,17.702000000000226,20.112999999999374,18.64300000000003,26.467999999999847,19.740999999999985,21.34900000000016,28.492999999999483,28.20799999999963,60.13299999999981,29.71100000000024,24.746000000000095,
