,RUS,HAM,SAI,LEC,VER,NOR,PIA,HUL,TSU,PER,ALO,MAG,ZHO,COL,STR,LAW,OCO,BOT,ALB,GAS
1.0,0.0,5.84900000000016,1.5450000000000728,0.6149999999997817,2.650000000000091,3.525000000000091,5.165999999999713,5.407999999999902,4.072999999999865,10.025000000000091,9.55600000000004,9.346999999999753,7.411000000000058,12.356999999999971,10.460000000000036,9.125,6.733999999999924,11.342000000000098,9.88000000000011,2.063000000000102
2.0,0.0,6.805000000000291,1.9340000000001965,0.8710000000000946,3.4340000000001965,4.355000000000018,6.584000000000287,6.091000000000349,5.022000000000389,13.054000000000087,11.071000000000367,12.650000000000091,8.700000000000273,15.46100000000024,14.135000000000218,10.495000000000346,7.794000000000324,14.821000000000367,13.579000000000178,2.9420000000000073
3.0,0.0,7.344000000000051,1.6510000000002947,0.3360000000002401,3.9149999999999636,4.688000000000102,6.864000000000033,6.300000000000182,5.565000000000055,14.640000000000327,12.372000000000298,13.954999999999927,9.235000000000127,17.795000000000073,15.753999999999905,11.360000000000127,8.515000000000327,16.626000000000204,15.25,3.312000000000353
4.0,0.0,7.753000000000156,1.4400000000000546,0.08899999999994179,3.880000000000109,5.0340000000001055,7.342000000000098,6.550000000000182,5.88799999999992,16.173999999999978,18.753000000000156,15.628999999999905,9.793999999999869,18.898999999999887,17.508000000000266,12.451000000000022,9.134000000000015,18.33699999999999,16.853000000000065,4.199000000000069
5.0,0.0,8.82400000000007,1.6980000000003201,1.1300000000001091,4.2159999999998945,6.38799999999992,8.215999999999894,8.506000000000313,7.117999999999938,17.315000000000055,36.22700000000032,16.807000000000244,11.05600000000004,20.59999999999991,18.81899999999996,14.01299999999992,10.385999999999967,19.69900000000007,18.253999999999905,5.303000000000338
6.0,0.0,9.14200000000028,2.076000000000022,1.4520000000002256,4.5470000000000255,6.906000000000404,8.983000000000175,10.791000000000167,8.21600000000035,17.970000000000255,37.67399999999998,17.40000000000009,12.495000000000346,21.47400000000016,19.495000000000346,15.393000000000029,11.653000000000247,21.119000000000142,18.727000000000317,6.381000000000313
7.0,0.0,10.87900000000036,2.6200000000003456,2.9600000000000364,4.954999999999927,8.124000000000251,10.603000000000065,11.980000000000018,9.225000000000364,18.83999999999969,38.409000000000106,19.52500000000009,13.908000000000357,23.54599999999982,20.299000000000433,16.299000000000433,13.053000000000338,22.20199999999977,19.826000000000477,7.550999999999931
8.0,0.0,11.620999999999185,3.850999999999658,6.447999999999411,5.6489999999994325,10.344000000000051,12.600999999999658,14.203999999999724,10.844999999999345,19.368999999999687,39.67000000000007,20.766999999999825,15.722999999999956,24.589999999999236,22.113999999999578,18.040999999999258,15.19799999999941,23.77899999999954,21.186999999999898,10.455999999999221
9.0,0.0,13.796000000000276,5.61200000000008,15.243000000000393,6.688000000000102,16.83300000000054,15.83600000000024,16.37800000000061,14.512000000000626,20.14100000000053,40.04400000000078,22.16700000000037,17.791000000000167,25.413000000000466,28.645000000000437,20.759000000000015,17.298999999999978,24.59400000000005,27.319000000000415,13.567000000000007
10.0,0.0,15.3149999999996,13.492999999999483,30.860999999999876,8.070999999999913,32.39899999999943,22.585000000000036,18.630999999999403,21.804000000000087,20.688999999999396,40.297999999999774,24.85400000000027,20.39099999999962,26.067000000000007,59.1899999999996,23.045000000000073,19.712999999999738,25.66899999999987,45.41100000000006,21.148999999999432
11.0,0.0,15.63300000000072,29.463000000000648,30.99000000000069,13.733000000000175,31.50500000000011,44.91400000000067,20.8070000000007,38.970000000000255,22.70600000000013,40.18700000000081,27.4320000000007,28.171000000000276,28.351000000000568,59.19200000000001,31.063000000000102,26.856000000000677,27.89600000000064,45.788000000000466,39.17400000000089
12.0,0.0,11.188999999999396,26.734999999999673,27.42999999999938,25.22899999999936,27.891999999999825,39.52899999999954,18.256999999999607,33.625,18.846999999999753,35.279999999999745,25.844999999999345,43.71599999999944,27.264999999999418,55.64599999999973,44.98699999999917,38.22099999999955,26.21899999999914,41.47699999999986,34.27299999999923
13.0,0.375,0.0,11.982999999999265,12.998999999999796,9.156999999999243,13.877999999999702,23.091999999999643,5.048999999999978,17.549999999999272,4.574999999999818,19.337999999999738,13.661000000000058,29.264999999999418,15.194999999999709,41.15699999999924,30.844999999999345,39.87199999999939,14.529999999999745,25.69799999999941,18.20799999999963
14.0,0.0,16.257000000000517,11.233000000000175,13.221000000000458,8.86200000000008,15.00500000000011,23.27100000000064,12.819000000000415,19.069000000000415,6.801000000000386,20.035000000000764,17.429000000000087,29.94300000000021,18.65900000000056,41.77300000000014,31.39300000000003,40.13200000000052,18.11500000000069,25.795000000000073,19.785000000000764
15.0,0.0,15.69800000000032,11.122000000000298,13.127000000000407,9.179000000000087,14.909999999999854,23.496000000000095,30.011000000000422,21.483000000000175,10.034999999999854,23.936000000000604,21.0600000000004,30.590000000000146,22.725000000000364,42.150000000000546,32.05000000000018,40.44599999999991,22.016999999999825,26.329999999999927,32.676000000000386
16.0,0.0,14.875999999999294,12.076999999999316,13.529999999999745,9.828999999999724,15.161999999999352,25.273999999999432,31.083999999999833,24.277999999999338,13.060999999999694,27.617999999999483,24.99699999999939,31.889000000000124,31.01299999999992,43.27599999999984,33.07600000000002,41.487999999999374,27.461999999999534,27.922999999999774,
17.0,0.0,16.360999999999876,12.175000000000182,15.148000000000138,10.015000000000327,17.22100000000046,26.6850000000004,31.75500000000011,24.95799999999963,23.519000000000233,30.11499999999978,34.4340000000002,33.16399999999976,48.79899999999998,44.00500000000011,34.45600000000013,42.48999999999978,37.52099999999973,30.564000000000306,
18.0,0.0,16.06500000000051,12.287000000000262,15.4350000000004,10.007000000000517,17.40899999999965,26.847999999999956,32.271999999999935,25.56999999999971,41.99499999999989,31.58300000000054,54.21699999999964,34.10199999999986,50.05199999999968,44.72900000000027,35.90800000000036,43.29200000000037,55.042999999999665,31.125,
