,NOR,VER,LEC,PER,SAI,HAM,TSU,RUS,ALO,OCO,HUL,GAS,PIA,ZHO,RIC,BOT,STR,ALB,MAG,SAR
1.0,4.581000000000131,0.0,1.3589999999999236,3.94399999999996,2.8960000000001855,5.58600000000024,6.717000000000098,7.289000000000215,8.68600000000015,9.394999999999982,5.820999999999913,9.019000000000233,2.5100000000002183,10.708000000000084,12.327999999999975,11.445999999999913,7.666000000000167,9.61999999999989,10.58600000000024,9.981999999999971
2.0,5.686999999999898,0.0,1.582999999999629,4.031999999999698,2.7929999999996653,7.458999999999833,7.960999999999785,8.590999999999894,11.172000000000025,11.739999999999782,6.665999999999713,10.423999999999978,2.243999999999687,13.879999999999654,14.827999999999975,14.155999999999949,9.098999999999705,11.45199999999977,14.360999999999876,12.255999999999858
3.0,6.23700000000008,0.0,1.7560000000003129,4.416000000000167,2.894999999999982,8.353000000000065,9.101000000000113,9.548999999999978,12.038000000000011,13.269999999999982,7.668999999999869,11.076000000000022,2.1700000000000728,15.08199999999988,17.42300000000023,15.653000000000247,10.17599999999993,12.624000000000251,16.503999999999905,13.764999999999873
4.0,6.407000000000153,0.0,2.0260000000002947,4.336999999999989,2.6400000000003274,8.710000000000036,9.489000000000033,10.170000000000073,12.55600000000004,13.778999999999996,7.983000000000175,11.727000000000317,1.7850000000003092,15.9350000000004,18.826000000000022,16.546000000000276,10.738000000000284,13.009000000000015,17.460000000000036,14.564000000000306
5.0,6.833000000000084,0.0,3.000999999999749,4.820999999999913,3.375,9.541999999999916,11.922000000000025,11.268000000000029,13.739999999999782,14.853000000000065,8.924999999999727,13.083000000000084,2.2719999999999345,16.773999999999887,20.192999999999756,17.539999999999964,12.409999999999854,14.348999999999705,18.846999999999753,15.563000000000102
6.0,7.066000000000258,0.0,3.0019999999999527,5.079999999999927,3.3470000000002074,10.282000000000153,12.885000000000218,11.965000000000146,14.860999999999876,16.35400000000027,9.547000000000025,14.148000000000138,2.21100000000024,18.153000000000247,21.235999999999876,18.97400000000016,13.38799999999992,15.670000000000073,19.764000000000124,17.088999999999942
7.0,7.33600000000024,0.0,3.3850000000002183,5.360000000000127,3.8730000000000473,11.853000000000065,13.672000000000025,13.005999999999858,16.570999999999913,17.58600000000024,11.605000000000018,15.543999999999869,2.6710000000002765,19.713000000000193,22.68600000000015,20.47400000000016,14.557000000000244,17.25,21.534999999999854,18.835000000000036
8.0,7.497000000000298,0.0,3.6599999999998545,5.668999999999869,4.373999999999796,13.635999999999513,14.855999999999767,13.98700000000008,17.48399999999947,19.238000000000284,13.070999999999913,16.51000000000022,2.900000000000091,21.41399999999976,24.73999999999978,22.390000000000327,15.48700000000008,18.39300000000003,23.889000000000124,20.47099999999955
9.0,7.636999999999716,0.0,3.5230000000001382,5.869999999999891,4.163000000000466,14.371000000000095,15.684000000000196,15.056999999999789,18.201000000000022,20.06800000000021,13.908000000000357,17.173999999999978,2.7030000000004293,22.38799999999992,26.105999999999767,23.69800000000032,16.297999999999774,19.353000000000065,25.17699999999968,21.457000000000335
10.0,7.600000000000364,0.0,3.7340000000003783,6.1820000000006985,4.230000000000473,15.706000000000131,17.33300000000054,16.575000000000728,19.552999999999884,21.157000000000153,16.184000000000196,18.63799999999992,3.0280000000002474,23.407000000000153,28.132000000000517,25.157000000000153,17.548999999999978,25.686999999999898,27.028000000000247,22.771999999999935
11.0,7.530999999999949,0.0,3.404000000000451,6.212999999999738,4.083999999999833,16.577000000000226,18.64800000000014,17.878999999999905,21.251000000000204,22.141999999999825,17.439000000000306,19.88000000000011,2.78899999999976,24.56800000000021,29.561999999999898,31.311999999999898,24.251000000000204,40.09900000000016,28.679000000000087,28.663000000000466
12.0,7.861000000000786,0.0,3.430000000000291,6.871000000000095,4.140000000000327,17.470000000000255,20.1820000000007,19.173999999999978,23.347000000000662,23.02900000000045,24.762000000000626,25.999000000000706,2.7750000000005457,25.926000000000386,31.02300000000014,47.77400000000034,41.28700000000026,41.42100000000028,30.19500000000062,44.41400000000067
13.0,8.234000000000378,0.0,3.628000000000611,7.713000000000648,4.6159999999999854,18.212000000000444,21.74200000000019,20.08600000000024,24.875,23.994000000000597,40.228000000000065,40.884000000000015,2.8079999999999927,27.463000000000648,32.29899999999998,48.44800000000032,42.09400000000005,42.78200000000015,31.671000000000276,44.990999999999985
14.0,9.079999999999927,0.0,3.675000000000182,8.626999999999498,4.6899999999996,18.98700000000008,22.798999999999978,20.760999999999513,26.574999999999818,25.14300000000003,40.61399999999958,41.34099999999944,3.0729999999994106,28.73999999999978,33.69200000000001,49.123999999999796,42.537999999999556,43.792999999999665,32.97099999999955,45.76499999999942
15.0,9.74499999999989,0.0,3.556999999999789,9.157000000000153,5.0020000000004075,19.524000000000342,23.328999999999724,21.342999999999847,28.118000000000393,25.921000000000276,40.72900000000027,41.52800000000025,3.0330000000003565,30.09900000000016,34.90300000000025,49.93199999999979,43.210000000000036,44.43299999999999,34.0590000000002,46.409999999999854
16.0,10.186999999999898,0.0,3.8339999999998327,9.582000000000335,5.498000000000502,20.296000000000276,24.26299999999992,22.016999999999825,29.577000000000226,26.717000000000553,41.71100000000024,42.33300000000054,3.0690000000004147,31.355000000000473,36.42200000000048,51.07900000000063,44.319000000000415,45.86200000000008,35.4350000000004,47.68299999999999
17.0,10.730000000000473,0.0,3.981999999999971,15.646999999999935,5.807999999999993,20.978000000000065,25.27900000000045,22.704000000000633,30.91700000000037,27.79399999999987,42.41200000000026,42.94300000000021,3.2330000000001746,32.529999999999745,37.534999999999854,51.8090000000002,44.8720000000003,46.625,36.654999999999745,48.48000000000047
18.0,10.858000000000175,0.0,3.7890000000006694,29.173999999999978,5.8510000000005675,21.262000000000626,26.002000000000407,23.387000000000626,32.05200000000059,28.662000000000262,42.9980000000005,43.728000000000065,3.186000000000604,33.902000000000044,38.7470000000003,52.84299999999985,45.71100000000024,47.29500000000007,37.66899999999987,49.13799999999992
19.0,10.665999999999258,0.0,9.359999999999673,29.664999999999964,6.020999999999731,21.92699999999968,26.71599999999944,24.28099999999995,33.43299999999999,30.729999999999563,43.603000000000065,44.23399999999947,3.626999999999498,35.17499999999927,39.97999999999956,53.93199999999979,46.677999999999884,48.297999999999774,39.1279999999997,50.011999999999716
20.0,10.556999999999789,0.0,23.24200000000019,30.203999999999724,6.118999999999687,22.44499999999971,27.63299999999981,25.561999999999898,35.13299999999981,32.26900000000023,44.610999999999876,45.34299999999985,3.7269999999998618,36.930999999999585,41.43000000000029,55.55400000000009,47.96399999999994,49.35199999999986,40.71900000000005,51.197000000000116
21.0,9.959999999999127,0.0,22.428999999999178,30.03099999999995,5.970999999999549,23.703999999999724,28.417999999999665,26.34899999999925,36.464999999999236,33.20999999999913,45.38999999999942,46.107999999999265,3.730999999999767,38.693999999999505,42.57499999999982,56.826999999999316,48.76499999999942,50.03299999999945,41.91099999999915,52.07599999999911
22.0,9.570999999999913,0.0,22.16399999999976,29.97699999999986,5.839999999999236,24.156999999999243,29.22699999999986,26.768999999999323,45.960000000000036,42.66100000000006,53.79099999999926,54.422999999999774,3.540999999999258,45.24299999999948,51.214999999999236,69.20199999999932,58.72599999999966,60.79199999999946,53.47199999999975,62.761999999999716
