,LEC,PIA,SAI,NOR,RUS,VER,HAM,TSU,ALB,GAS,ALO,RIC,BOT,STR,SAR,ZHO,OCO,PER,HUL,MAG
1.0,0.0,2.5010000000002037,6.4210000000002765,11.92200000000048,17.64800000000014,22.753999999999905,27.590000000000146,32.24300000000039,38.45100000000002,41.32899999999972,56.81800000000021,51.240999999999985,65.38200000000052,46.28200000000015,60.49200000000019,69.88699999999972,0.0,0.0,0.0,0.0
2.0,0.0,0.6840000000001965,1.1980000000003201,1.5209999999997308,1.8630000000002838,2.199999999999818,2.4290000000000873,2.699000000000524,2.8850000000002183,3.1260000000002037,3.568000000000211,3.5280000000002474,3.918999999999869,3.305000000000291,3.905999999999949,4.197000000000116,,,,
3.0,0.0,1.0130000000008295,1.58600000000024,2.180000000000291,2.5579999999999927,3.3200000000006185,4.863000000000284,5.6380000000008295,6.095000000000255,6.77100000000064,8.132000000000517,8.5600000000004,9.038000000000466,6.984000000000378,9.359000000000378,9.969000000000051,,,,
4.0,0.0,0.7020000000002256,1.3190000000004147,2.337000000000444,2.8010000000003856,3.9700000000002547,5.6140000000004875,6.3400000000001455,6.756000000000313,7.414999999999964,9.243000000000393,9.459000000000742,9.798999999999978,7.713000000000648,10.416000000000167,11.042000000000371,,,,
5.0,0.0,0.9260000000003856,1.5020000000004075,2.6890000000003056,4.051000000000386,5.575000000000728,7.459000000000742,8.038000000000466,8.329999999999927,9.048000000000684,11.023000000000138,11.408000000000357,11.640000000000327,9.649000000000342,12.295000000000073,12.740999999999985,,,,
6.0,0.0,1.1350000000002183,1.519999999999527,3.3479999999999563,5.917999999999665,8.216999999999643,9.682999999999993,10.11700000000019,10.600999999999658,11.009000000000015,12.588999999999942,13.010999999999513,13.363000000000284,11.480999999999767,13.889000000000124,14.24499999999989,,,,
7.0,0.0,0.9630000000006476,2.006000000000313,3.1959999999999127,6.3530000000000655,8.520000000000437,10.166000000000167,10.963000000000648,11.53400000000056,12.262000000000626,14.475000000000364,14.778000000000247,15.215000000000146,13.135000000000218,15.807999999999993,16.199000000000524,,,,
8.0,0.0,0.9909999999999854,1.2479999999995925,2.9859999999998763,6.934999999999491,9.146999999999935,10.747999999999593,11.583999999999833,12.039999999999964,12.831999999999425,15.72899999999936,16.180999999999585,16.433999999999287,13.75799999999981,16.998999999999796,17.350999999999658,,,,
9.0,0.0,0.7830000000003565,1.6589999999996508,3.269000000000233,8.253999999999905,10.773000000000138,12.484999999999673,13.365999999999985,13.930000000000291,14.78899999999976,17.265000000000327,17.595000000000255,18.034999999999854,15.734000000000378,18.564000000000306,19.04700000000048,,,,
10.0,0.0,0.8980000000001382,2.143000000000029,3.4660000000003492,9.010000000000218,11.24200000000019,13.147000000000844,14.182000000000698,14.717000000000553,15.408000000000357,18.35400000000027,18.796000000000276,19.207000000000335,16.684000000000196,19.733000000000175,20.21600000000035,,,,
11.0,0.0,0.75,1.3429999999998472,3.2899999999999636,9.416000000000167,11.688000000000102,13.426000000000386,14.425000000000182,15.1850000000004,15.659999999999854,18.726000000000568,19.279999999999745,19.70800000000054,17.154999999999745,20.179000000000087,20.733000000000175,,,,
12.0,0.0,0.6329999999998108,1.0649999999995998,2.970999999999549,9.479999999999563,12.094999999999345,14.337999999999738,15.261999999999716,15.753999999999905,16.697000000000116,19.840000000000146,20.30499999999938,20.78399999999965,18.373999999999796,21.33100000000013,21.673999999999978,,,,
13.0,0.0,0.3609999999998763,2.0649999999996,3.774000000000342,10.988000000000284,12.981999999999971,15.49200000000019,16.92699999999968,18.157000000000153,19.210000000000036,22.251000000000204,22.703999999999724,23.30699999999979,20.671000000000276,23.813000000000102,24.185999999999694,,,,
14.0,0.0,0.46200000000044383,1.6320000000005166,3.2460000000000946,11.347000000000662,12.792000000000371,15.704999999999927,18.26300000000083,18.835000000000036,19.217000000000553,23.730000000000473,24.1820000000007,24.61500000000069,21.1850000000004,25.119000000000597,25.537000000000262,,,,
15.0,0.0,0.88799999999992,1.3369999999995343,3.1829999999999927,11.71099999999933,13.323999999999614,15.837999999999738,18.523999999999432,19.587999999999738,20.44499999999971,24.95299999999952,25.52099999999973,42.675999999999476,22.1279999999997,26.621000000000095,27.14599999999973,,,,
16.0,0.0,0.5609999999996944,1.7600000000002183,2.66399999999976,11.467999999999847,13.454999999999927,16.065999999999804,19.215000000000146,20.224999999999454,21.342999999999847,26.11499999999978,26.48999999999978,42.53200000000015,23.161000000000058,27.110999999999876,27.47099999999955,,,,
17.0,0.0,0.3100000000004002,1.556999999999789,2.722000000000662,11.338999999999942,13.074000000000524,15.525000000000546,19.27100000000064,21.08300000000054,23.025000000000546,26.63500000000022,27.07300000000032,38.814000000000306,24.85199999999986,27.847999999999956,28.171000000000276,,,,
18.0,0.0,0.5619999999998981,1.154000000000451,2.5399999999999636,11.197000000000116,13.074000000000524,15.981999999999971,20.302999999999884,21.545000000000073,24.24200000000019,28.13000000000011,28.601000000000568,35.801000000000386,25.970000000000255,29.298999999999978,29.502000000000407,,,,
19.0,0.0,0.8989999999994325,1.756999999999607,2.9780000000000655,12.511999999999716,14.402999999999338,17.014000000000124,22.230999999999767,22.94799999999941,25.304000000000087,29.89300000000003,31.068999999999505,34.787999999999556,27.480999999999767,31.677999999999884,32.07999999999993,,,,
20.0,0.0,1.2299999999995634,2.4359999999996944,3.2969999999995707,13.84099999999944,15.5649999999996,18.79399999999987,23.497999999999593,24.583999999999833,26.835000000000036,32.27899999999954,33.28699999999935,35.18799999999919,28.154999999999745,33.80699999999979,34.25999999999931,,,,
21.0,0.0,1.3589999999994689,2.8809999999994034,3.8079999999999927,15.157000000000153,17.347999999999956,20.081999999999425,25.58299999999963,27.048999999999978,28.238999999999578,34.123999999999796,35.63199999999961,37.177999999999884,28.698999999999614,36.1840000000002,36.456999999999425,,,,
22.0,0.0,1.3239999999996144,3.149999999999636,4.168999999999869,16.228000000000065,18.541000000000167,22.05199999999968,27.837999999999738,28.97099999999955,30.172999999999774,36.54100000000017,37.860999999999876,39.57999999999993,31.385999999999513,38.46100000000024,38.92000000000007,,,,
23.0,0.0,1.524000000000342,3.6850000000004,4.905000000000655,17.16700000000037,19.061999999999898,22.682999999999993,29.829999999999927,30.65599999999995,33.02100000000064,38.32900000000063,40.06500000000051,41.8720000000003,34.115999999999985,40.59600000000046,41.253999999999905,,,,
24.0,0.0,1.4350000000004002,3.5280000000002474,4.878999999999905,17.926000000000386,19.701000000000022,22.743000000000393,31.490999999999985,32.44800000000032,35.24499999999989,41.016999999999825,41.6880000000001,43.71100000000024,37.011999999999716,42.26599999999962,42.876000000000204,,,,
25.0,0.0,1.2460000000000946,3.0919999999996435,4.5460000000002765,17.60400000000027,20.108000000000175,23.11200000000008,32.84699999999975,33.797999999999774,36.64400000000023,43.13500000000022,43.74399999999969,45.52099999999973,38.54500000000007,44.19599999999991,44.66600000000017,,,,
26.0,0.0,1.2409999999999854,2.735000000000582,4.497000000000298,18.164999999999964,20.481000000000677,24.52900000000045,34.850000000000364,35.81600000000071,38.79200000000037,45.548000000000684,45.99000000000069,47.92700000000059,40.689000000000306,46.68000000000029,47.090000000000146,,,,
27.0,0.0,1.4129999999995562,3.8739999999997963,4.8659999999999854,18.740999999999985,20.92699999999968,24.72699999999986,36.784999999999854,37.97400000000016,40.961999999999534,48.5,49.003999999999905,50.94599999999991,42.64499999999953,49.55999999999949,50.03200000000015,,,,
28.0,0.0,1.4939999999996871,4.444999999999709,5.393999999999323,18.710000000000036,20.898999999999432,24.60399999999936,38.259000000000015,38.77399999999943,42.48099999999977,51.33399999999983,51.85999999999967,54.000999999999294,44.0659999999998,52.45399999999972,52.83799999999974,,,,
29.0,0.0,1.4510000000000218,4.088999999999942,5.106999999999971,18.28099999999995,20.64099999999962,24.490999999999985,39.042999999999665,39.99200000000019,42.80400000000009,53.485999999999876,54.072000000000116,55.80499999999938,44.47699999999986,54.73499999999967,55.12299999999959,,,,
30.0,0.0,0.9120000000002619,1.480000000000473,3.5750000000007276,17.157000000001062,19.280000000000655,22.92699999999968,39.603000000000975,41.496000000001004,44.63299999999981,54.585000000000946,55.03700000000026,57.340000000000146,45.96399999999994,55.63999999999942,56.23199999999997,,,,
31.0,0.0,0.9680000000007567,2.871000000001004,3.9619999999995343,17.86499999999978,19.45100000000093,23.00500000000102,41.399999999999636,44.04399999999987,47.66699999999946,56.83400000000074,57.34699999999975,59.699000000000524,50.10599999999977,58.022000000000844,58.64500000000044,,,,
32.0,0.0,0.8119999999998981,3.881999999999607,4.375,17.86200000000099,19.309000000001106,22.497999999999593,43.298000000000684,45.06700000000092,49.663000000000466,58.71900000000096,59.16200000000026,61.23199999999997,52.233000000000175,59.693999999999505,60.30199999999968,,,,
33.0,0.0,1.3779999999987922,4.165999999999258,5.113999999999578,18.278000000000247,19.81999999999971,22.75,45.552999999999884,46.064000000000306,52.134000000000015,60.57499999999891,61.0630000000001,63.26299999999901,54.274999999999636,61.72999999999956,62.48500000000058,,,,
34.0,0.0,1.037000000000262,3.860000000000582,5.038000000000466,18.337999999999738,20.094999999999345,22.291000000001077,45.387000000000626,45.879000000000815,53.56600000000071,62.13299999999981,62.58400000000074,64.84699999999975,54.7450000000008,63.14899999999943,63.902000000000044,,,,
35.0,0.0,1.1119999999991705,3.7950000000000728,5.221999999999753,20.255999999999403,21.771999999999025,23.278999999998632,45.82999999999993,46.164999999999054,54.396999999999025,64.03499999999985,64.59399999999914,66.57099999999991,55.711999999999534,65.20299999999952,65.74399999999878,,,,
36.0,0.0,1.304999999998472,4.380999999999403,5.114999999999782,21.295000000000073,22.716999999998734,25.237999999999374,46.612999999999374,49.10399999999936,55.28399999999965,66.47399999999834,67.03099999999904,69.07799999999952,56.31999999999971,67.64799999999923,68.04099999999926,,,,
37.0,0.0,0.9920000000001892,3.032999999999447,4.147999999999229,21.127000000000407,23.22099999999955,24.917999999999665,47.759000000000015,50.95399999999972,56.33400000000074,69.0609999999997,69.46399999999994,71.53900000000067,57.03299999999945,70.12700000000041,70.56500000000051,,,,
38.0,0.0,1.194999999999709,2.9169999999994616,3.613999999999578,21.045000000000073,23.537000000000262,26.90400000000045,49.347999999999956,52.73999999999978,57.23400000000038,71.61499999999978,72.03499999999985,73.95899999999892,58.21099999999933,72.72999999999956,73.12700000000041,,,,
39.0,0.0,1.3759999999983847,3.0459999999984575,3.735999999998967,21.313999999998487,23.68199999999888,27.665999999999258,51.021999999999025,54.9479999999985,59.37299999999959,74.6989999999987,75.10899999999856,78.94999999999891,59.896999999999025,75.82200000000012,76.17900000000009,,,,
