,VER,LEC,PIA,RUS,GAS,SAI,ALO,ZHO,MAG,NOR,BOT,HAM,TSU,LAW,ALB,HUL,PER,STR,COL,OCO
1.0,0.0,6.095000000000255,7.168999999999869,4.287000000000262,19.56800000000021,8.050000000000182,11.827999999999975,22.699999999999818,18.576000000000022,2.2910000000001673,20.73799999999983,12.934999999999945,16.40599999999995,21.98700000000008,24.039999999999964,53.927000000000135,8.860000000000127,25.44900000000007,0.0,0.0
2.0,0.0,6.913000000000011,8.824999999999818,4.4050000000002,22.117999999999938,10.099999999999909,13.054000000000087,27.304000000000087,20.661999999999807,2.313999999999851,23.89300000000003,15.708000000000084,18.5,26.027000000000044,29.07900000000018,39.74200000000019,11.31100000000015,31.291000000000167,,
3.0,0.0,7.010999999999967,9.14200000000028,4.7409999999999854,24.23700000000008,10.704000000000178,13.878999999999905,28.24499999999989,21.96900000000005,2.5460000000002765,25.320999999999913,17.248000000000047,19.60699999999997,27.0329999999999,29.159000000000106,33.990999999999985,12.188000000000102,30.820999999999913,,
4.0,0.0,1.4769999999998618,1.6759999999999309,0.8400000000001455,4.233000000000175,2.09900000000016,3.1280000000001564,5.447999999999865,3.800000000000182,0.4450000000001637,4.675999999999931,3.173000000000229,3.4839999999999236,4.791000000000167,5.893999999999778,6.9789999999998145,2.668999999999869,6.829000000000178,,
5.0,0.0,3.9549999999999272,2.5549999999998363,2.063999999999851,8.933999999999742,4.730000000000018,8.789999999999964,9.240999999999985,7.9659999999998945,0.8959999999997308,9.975999999999658,5.9220000000000255,6.799999999999727,15.416999999999916,10.315999999999804,11.811999999999898,5.494999999999891,13.627999999999702,,
6.0,0.0,5.0090000000000146,3.0729999999998654,2.3589999999999236,10.849999999999909,5.86200000000008,11.33199999999988,11.996999999999844,9.996999999999844,1.0769999999997708,12.873999999999796,7.503999999999905,8.976999999999862,18.462999999999738,13.734999999999673,15.991999999999734,6.819999999999709,18.060999999999694,,
7.0,0.0,5.519999999999982,3.548000000000229,2.544000000000324,12.211999999999989,6.674999999999727,13.013000000000375,13.677000000000135,11.696000000000367,1.2010000000000218,14.748000000000047,9.000000000000455,10.817999999999756,20.251999999999953,15.887000000000171,18.268000000000484,7.723999999999705,28.014999999999873,,
8.0,0.0,6.430000000000291,3.5900000000001455,2.6970000000001164,13.813000000000102,7.537000000000262,14.760999999999513,15.765999999999622,13.122999999999593,1.5889999999999418,16.96900000000005,9.76299999999992,12.274999999999636,22.131000000000313,18.105999999999767,20.40599999999995,8.846999999999753,82.59699999999975,,
9.0,0.0,7.144000000000233,3.854000000000269,2.994999999999891,15.193000000000211,8.131000000000313,16.204999999999927,17.644000000000233,14.318000000000211,1.7330000000001746,18.623999999999796,10.546000000000276,13.735999999999876,23.59100000000035,19.944000000000415,22.01800000000003,9.77099999999973,,,
10.0,0.0,7.605999999999767,4.050000000000182,3.2960000000002765,17.49200000000019,8.623999999999796,18.38799999999992,19.314000000000306,15.945999999999913,1.731999999999971,20.368000000000393,11.726999999999862,16.96900000000005,25.827000000000226,21.752000000000407,24.33100000000013,10.681999999999789,,,
11.0,0.0,8.179000000000087,4.623999999999796,3.7020000000002256,19.86499999999978,9.194000000000415,20.83300000000054,21.670000000000073,18.637000000000626,1.9090000000005602,22.701000000000022,12.735000000000582,19.335000000000036,28.056000000000495,25.195999999999913,26.554000000000087,11.662000000000262,,,
12.0,0.0,8.302999999999884,5.0090000000000146,3.787999999999556,21.78899999999976,9.514000000000124,22.83600000000024,23.73999999999978,20.2470000000003,1.8189999999995052,24.640000000000327,13.363999999999578,21.341999999999643,30.26299999999992,26.591999999999643,28.88000000000011,12.488000000000284,,,
13.0,0.0,8.731999999999971,5.201000000000022,4.1270000000004075,22.93199999999979,9.79700000000048,24.713999999999942,25.556000000000495,21.725000000000364,1.7700000000004366,26.550000000000182,14.034999999999854,24.199000000000524,32.69499999999971,28.520000000000437,30.94499999999971,13.27599999999984,,,
14.0,0.0,8.579999999999927,5.4450000000006185,4.555000000000291,24.131000000000313,10.175000000000182,25.704000000000633,27.653000000000247,22.902000000000044,1.8820000000005166,28.528000000000247,14.780999999999949,27.21900000000005,34.58600000000024,30.233000000000175,32.57499999999982,13.947000000000116,,,
15.0,0.0,8.686999999999898,5.550000000000182,4.8149999999996,25.170000000000073,10.588999999999942,26.70600000000013,28.97900000000027,24.11499999999978,1.719000000000051,30.85899999999947,15.88299999999981,30.16899999999987,36.57999999999993,32.32799999999952,34.10899999999947,14.657999999999447,,,
16.0,0.0,9.012000000000626,6.418999999999869,5.231999999999971,26.265000000000327,10.871000000000095,27.967999999999847,30.53900000000067,25.3070000000007,1.6220000000002983,33.21399999999994,16.863000000000284,32.199000000000524,38.48900000000049,34.32300000000032,35.40100000000075,15.412000000000262,,,
17.0,0.0,9.387000000000626,6.990000000000691,5.52100000000064,27.319000000000415,11.28400000000056,29.19500000000062,32.32600000000002,26.4970000000003,1.5520000000005894,35.09299999999985,17.679000000000087,34.17200000000048,40.44000000000051,36.41899999999987,37.42200000000048,15.881000000000313,,,
18.0,0.0,9.803999999999178,7.613999999999578,6.001999999999498,28.933999999999287,11.772999999999229,30.859999999999673,34.266999999999825,28.180999999999585,1.725999999999658,37.5029999999997,19.06999999999971,36.66699999999946,42.722999999999956,38.66100000000006,40.15099999999984,17.256999999999607,,,
19.0,0.0,10.142000000000735,7.798999999999978,6.2390000000004875,30.320999999999913,12.316000000000713,32.18000000000029,35.84600000000046,29.47900000000027,1.693000000000211,39.35400000000027,20.084000000000742,38.89500000000044,44.702000000000226,40.780000000000655,42.069000000000415,18.100000000000364,,,
20.0,0.0,10.712999999999738,8.420000000000073,7.1030000000000655,31.79399999999987,12.97899999999936,34.139000000000124,37.55899999999929,31.162999999999556,1.813999999999396,40.7529999999997,21.570999999999913,42.246000000000095,46.91699999999946,43.23099999999977,44.409999999999854,19.2529999999997,,,
21.0,0.0,11.066000000000713,8.816000000000713,7.854000000000269,33.77000000000044,13.378000000000611,35.53900000000067,39.18299999999999,32.65300000000025,1.8410000000003492,42.740999999999985,22.627000000000407,44.577000000000226,49.090000000000146,45.681000000000495,46.767000000000735,19.9970000000003,,,
22.0,0.0,11.194000000000415,9.126000000000204,8.521999999999935,35.3149999999996,13.82300000000032,37.11200000000008,40.70300000000043,34.1220000000003,1.7979999999997744,44.676000000000386,23.908000000000357,46.83100000000013,51.28899999999976,47.90599999999995,49.07300000000032,21.061999999999898,,,
23.0,0.0,11.527000000000044,9.904000000000451,13.257000000000517,36.75700000000052,14.340000000000146,38.52400000000034,41.972999999999956,35.50300000000061,1.918999999999869,46.1190000000006,24.670000000000073,49.11400000000049,53.319000000000415,50.001000000000204,51.516999999999825,22.056000000000495,,,
24.0,0.0,11.835000000000036,9.829000000000633,41.72600000000057,38.16700000000037,14.794000000000779,40.07600000000002,43.54500000000007,36.98199999999997,1.7640000000001237,51.83600000000024,25.579000000000633,51.32500000000073,55.51300000000083,52.14400000000023,53.71300000000065,22.873000000000502,,,
25.0,0.0,11.934000000000196,10.024000000000342,42.538000000000466,39.639000000000124,15.422999999999774,41.6190000000006,45.03400000000056,38.38600000000042,1.7830000000003565,78.62800000000061,26.25500000000011,53.597999999999956,57.85599999999977,54.44000000000051,55.65800000000036,23.66899999999987,,,
26.0,0.0,12.25799999999981,10.146999999999935,43.735999999999876,40.98399999999947,15.777999999999338,43.14399999999932,46.1869999999999,39.759000000000015,1.5450000000000728,80.93199999999979,26.805999999999585,55.547999999999774,59.996000000000095,56.438999999999396,57.45100000000002,24.35199999999986,,,
27.0,0.0,12.287000000000262,10.154000000000451,45.17100000000028,42.233000000000175,15.917000000000371,44.509000000000015,47.378999999999905,45.08899999999994,1.686000000000604,82.90200000000004,27.313000000000102,57.33300000000054,61.83600000000024,58.38200000000052,59.46799999999985,25.20800000000054,,,
28.0,0.0,12.476999999999862,10.145000000000437,46.319000000000415,43.04700000000048,16.342000000000553,45.73100000000068,48.57600000000002,69.22299999999996,1.7179999999998472,87.58899999999994,29.192000000000007,59.074000000000524,63.650000000000546,60.21600000000035,60.98400000000038,26.04399999999987,,,
29.0,0.0,12.269000000000233,10.045000000000073,47.374000000000706,43.77400000000034,16.463000000000648,46.827000000000226,49.694000000000415,70.04400000000078,1.7719999999999345,89.65800000000036,29.58100000000013,60.71800000000076,65.23500000000058,61.75,62.457000000000335,26.69000000000051,,,
30.0,0.0,12.3100000000004,10.04699999999957,48.391999999999825,43.990999999999985,16.570999999999913,47.59299999999985,50.41600000000017,70.51900000000023,1.2010000000000218,90.99200000000019,29.850000000000364,62.5029999999997,66.75,63.33100000000013,63.92500000000018,26.971999999999753,,,
31.0,0.0,12.606999999999971,10.517000000000735,49.789999999999964,44.913000000000466,16.960000000000036,48.90400000000045,51.902000000000044,71.41300000000047,1.5820000000003347,92.86700000000019,30.709000000000742,64.45900000000074,68.57900000000063,65.30799999999999,70.27900000000045,27.847000000000662,,,
32.0,0.0,12.858999999999469,10.983999999999469,50.94599999999991,45.81700000000001,17.417999999999665,50.126000000000204,53.323999999999614,72.86299999999937,1.8049999999993815,97.08699999999953,31.534999999999854,66.48799999999937,70.41600000000017,67.45299999999952,92.69300000000021,28.80999999999949,,,
33.0,0.0,13.40900000000056,11.918000000000575,52.09400000000005,46.58899999999994,18.17200000000048,51.57300000000032,54.63300000000072,74.09300000000076,2.4149999999999636,101.19800000000032,32.89800000000014,68.65700000000015,72.28500000000076,69.40599999999995,94.11000000000058,29.842000000000553,,,
34.0,0.0,13.694999999999709,16.789999999999964,53.597999999999956,47.74299999999948,41.399999999999636,54.62299999999959,56.10199999999986,75.76199999999972,2.5090000000000146,114.24499999999989,85.21099999999933,70.51899999999932,74.01099999999951,72.64599999999973,104.33099999999922,31.873999999999796,,,
35.0,0.0,19.903000000000247,52.10699999999997,76.04299999999967,66.93299999999999,97.45699999999943,77.41299999999956,79.6869999999999,104.10599999999977,3.855999999999767,172.1170000000002,170.67399999999998,100.07399999999961,104.90899999999965,102.2559999999994,130.8130000000001,46.20299999999952,,,
36.0,0.0,8.381999999999607,10.979999999999563,48.96399999999994,39.82600000000002,51.498999999999796,54.50799999999981,56.8100000000004,60.36499999999978,5.028000000000247,173.8810000000003,171.34100000000035,74.04899999999998,95.07300000000032,75.72800000000007,77.68099999999959,20.57800000000043,,,
37.0,0.0,6.748000000000502,7.969000000000051,15.172999999999774,12.555000000000291,16.326000000000022,21.475000000000364,17.899000000000342,21.864000000000487,3.7030000000004293,125.33899999999994,123.64699999999993,24.470000000000255,42.23700000000008,25.756000000000313,28.733000000000175,10.320000000000618,,,
38.0,0.0,4.03899999999976,5.1899999999996,10.493999999999687,8.083999999999833,11.997000000000298,14.886000000000422,13.271999999999935,17.58100000000013,1.8059999999995853,62.47900000000027,59.54100000000017,20.19300000000021,25.475000000000364,20.997999999999593,22.64599999999973,6.323999999999614,,,
39.0,0.0,0.7039999999997235,0.9089999999996508,1.3699999999998909,1.2100000000000364,1.6189999999996871,2.7379999999993743,2.625,3.4489999999996144,0.0999999999994543,6.117999999999483,5.206999999999425,3.7869999999993524,5.024999999999636,3.902999999999338,4.474999999999454,47.503999999999905,,,
40.0,0.0,3.2390000000004875,4.850999999999658,8.208999999999833,10.25,12.480999999999767,14.570999999999913,16.10699999999997,17.054000000000087,0.4719999999997526,23.967999999999847,20.1220000000003,23.591999999999643,26.235999999999876,18.501000000000204,-37.85199999999986,,,,
41.0,0.0,2.7770000000000437,4.585000000000036,6.253999999999905,7.274999999999636,9.457999999999629,11.073999999999614,12.434000000000196,14.518000000000029,1.58600000000024,20.613000000000284,18.631999999999607,22.493999999999687,26.077000000000226,16.48999999999978,,,,,
42.0,0.0,0.8190000000004147,1.3800000000001091,1.8870000000006257,2.1370000000006257,2.425000000000182,2.82300000000032,3.334000000000742,3.811000000000604,0.5150000000003274,4.774000000000342,4.57300000000032,5.11200000000008,5.753000000000611,3.8900000000003274,,,,,
43.0,0.0,2.1640000000006694,2.98700000000008,3.7490000000007058,4.913000000000466,5.602000000000771,6.085000000000036,6.83600000000024,8.316000000000713,0.6330000000007203,8.65100000000075,9.718000000000757,9.292000000000371,10.314000000000306,7.34900000000016,,,,,
44.0,0.0,2.643000000000029,3.755000000000109,4.859999999999673,6.801000000000386,7.305000000000291,8.029000000000451,9.601999999999862,11.042999999999665,0.5730000000003201,11.896999999999935,13.278000000000247,12.947000000000116,14.381000000000313,10.340000000000146,,,,,
45.0,0.0,3.186999999999898,4.3419999999996435,5.476999999999862,7.916000000000167,8.519000000000233,9.636000000000422,11.350000000000364,13.434000000000196,4.845999999999549,14.800000000000182,15.164999999999964,16.35199999999986,17.19499999999971,12.791000000000167,,,,,
46.0,0.0,3.481999999999971,4.881000000000313,5.721000000000458,8.78399999999965,9.319000000000415,10.706000000000131,13.04700000000048,15.886999999999716,34.15300000000025,18.40899999999965,16.52099999999973,19.34900000000016,19.90099999999984,15.122000000000298,,,,,
47.0,0.0,3.90099999999984,5.14600000000064,6.306999999999789,9.57800000000043,10.46100000000024,11.786000000000058,14.680000000000291,18.126000000000204,33.78600000000006,21.02599999999984,23.17200000000048,22.19000000000051,23.021999999999935,17.37800000000061,,,,,
48.0,0.0,4.1580000000003565,5.347000000000662,6.680000000000291,10.311000000000604,11.132000000000517,12.835000000000036,16.163000000000466,20.26300000000083,33.00300000000061,23.15100000000075,42.15900000000056,24.921000000000276,25.968000000000757,19.70600000000013,,,,,
49.0,0.0,4.1599999999998545,5.501999999999498,6.956000000000131,10.784999999999854,11.554000000000087,13.761999999999716,17.36200000000008,21.39799999999923,32.35699999999997,25.322000000000116,43.78699999999935,27.732999999999265,29.2529999999997,23.460000000000036,,,,,
50.0,0.0,4.243999999999687,5.805999999999585,6.989999999999782,11.329999999999927,12.09099999999944,14.497999999999593,18.46900000000005,22.661000000000058,33.727999999999156,27.881999999999607,45.271999999999025,31.441999999999098,33.568999999999505,26.920000000000073,,,,,
51.0,0.0,4.532999999999447,5.980999999999767,7.442000000000917,12.191000000000713,13.969999999999345,15.509000000000015,19.851000000000568,24.175999999999476,35.88199999999961,31.191000000000713,46.69100000000071,35.70000000000073,38.77100000000064,30.537000000000262,,,,,
52.0,0.0,5.091000000000349,6.29700000000048,7.8289999999997235,13.08599999999933,14.272999999999229,16.542999999999665,21.092000000000553,25.60699999999997,35.64799999999923,34.95600000000013,47.39400000000023,40.3179999999993,43.22099999999955,34.88500000000022,,,,,
53.0,0.0,5.201000000000931,6.688000000000102,8.378000000000611,13.938000000000102,14.761000000000422,17.40400000000045,22.254000000000815,26.957000000000335,37.60499999999956,37.35699999999997,48.306000000000495,44.568999999999505,47.61000000000058,42.074000000000524,,,,,
54.0,0.0,5.6490000000012515,7.052000000001499,8.932000000000698,15.014000000001033,15.5,18.269000000000233,23.48700000000099,28.382000000001426,37.07000000000153,40.91900000000169,52.379000000000815,48.900000000001455,52.29400000000169,47.23500000000058,,,,,
55.0,0.0,6.242000000000189,7.416000000001077,9.38800000000083,16.266999999999825,17.15400000000045,19.442000000000917,24.6200000000008,29.736000000000786,37.15899999999965,44.06500000000051,53.72400000000016,53.427999999999884,56.92900000000009,56.552999999999884,,,,,
56.0,0.0,6.22899999999936,7.359999999998763,9.385000000000218,16.602999999999156,17.328999999999724,19.95799999999872,25.22899999999936,31.108000000000175,36.17399999999907,47.00699999999961,54.766999999999825,57.733000000000175,59.88699999999881,96.72699999999895,,,,,
57.0,0.0,6.012000000000626,6.824999999998909,9.08599999999933,16.763999999999214,17.45800000000054,19.84900000000016,25.342000000000553,32.15899999999965,35.66899999999987,50.24499999999898,56.076999999999316,61.082000000000335,62.63299999999981,,,,,,
