,NOR,VER,PIA,RUS,LEC,HAM,SAI,ALO,HUL,PER,COL,TSU,OCO,STR,ZHO,BOT,GAS,RIC,MAG,ALB
1.0,0.0,0.9890000000000327,4.844000000000051,3.3979999999996835,6.665999999999713,2.2779999999997926,9.07699999999977,5.960000000000036,5.298999999999978,7.725999999999658,7.2719999999999345,8.474999999999909,9.502999999999702,12.184999999999945,13.397999999999683,12.936999999999898,11.556999999999789,10.894999999999982,9.984999999999673,10.346999999999753
2.0,0.0,1.2989999999999782,5.302999999999884,3.406999999999698,7.960999999999785,2.65099999999984,10.81399999999985,7.063999999999851,6.268000000000029,9.141999999999825,8.681999999999789,9.989000000000033,11.427999999999884,14.888999999999669,16.51299999999992,15.621999999999844,14.024999999999636,13.361999999999625,11.890999999999622,12.616999999999734
3.0,0.0,1.8099999999999454,6.246999999999844,4.712999999999738,8.694999999999709,3.4989999999997963,11.848999999999705,7.94399999999996,7.083999999999833,10.364999999999782,9.646999999999935,11.002999999999702,12.534000000000106,16.88299999999981,18.807999999999993,17.866999999999734,16.01299999999992,15.01299999999992,13.18100000000004,13.972999999999956
4.0,0.0,1.8339999999998327,7.157000000000153,5.436999999999898,9.559000000000196,4.121000000000095,12.50799999999981,8.893000000000029,8.148000000000138,11.070000000000164,10.490999999999985,11.853000000000065,13.175000000000182,17.980000000000018,20.317000000000007,19.547000000000025,17.04599999999982,16.11200000000008,14.22400000000016,14.811999999999898
5.0,0.0,1.8019999999996799,7.885999999999967,6.1030000000000655,10.661999999999807,4.476999999999862,13.687999999999647,9.990999999999985,8.858999999999924,12.195999999999913,11.507000000000062,12.94900000000007,14.458000000000084,19.654999999999745,22.27099999999973,21.45699999999988,18.690000000000055,17.759000000000015,15.233999999999924,16.12599999999975
6.0,0.0,1.956000000000131,8.820999999999913,6.632000000000062,11.615999999999985,4.9050000000002,15.065999999999804,10.943000000000211,9.918999999999869,13.608999999999924,12.72400000000016,14.38299999999981,15.911999999999807,21.577999999999975,24.490000000000236,26.088000000000193,20.570999999999913,19.139000000000124,16.858000000000175,17.550000000000182
7.0,0.0,2.1090000000003783,9.618999999999687,7.376000000000204,12.640000000000327,5.66399999999976,16.79399999999987,12.042000000000371,11.03399999999965,15.121000000000095,14.042999999999665,16.024000000000342,17.536000000000058,23.692000000000007,26.701000000000022,28.75,22.570999999999913,21.115999999999985,18.39300000000003,18.967999999999847
8.0,0.0,2.6959999999999127,10.409999999999854,8.553999999999178,14.284999999999854,6.82799999999952,18.495999999999185,13.501999999999498,12.772999999999229,16.39599999999973,15.894999999999527,17.846999999999753,19.45299999999952,26.347999999999956,29.105999999999767,31.98699999999917,25.152000000000044,23.648999999999432,20.74699999999939,21.201999999999316
9.0,0.0,3.8710000000000946,12.141000000000531,10.01299999999992,16.261000000000422,8.140000000000327,20.853000000000065,15.431000000000495,14.462000000000444,18.36200000000008,17.910000000000764,20.050000000000182,22.149000000000342,30.41400000000067,32.134000000000015,35.13100000000031,29.365999999999985,26.532000000000153,23.890000000000327,24.253999999999905
10.0,0.0,4.780000000000655,13.740000000000691,11.515000000000327,18.01300000000083,9.619000000000597,22.970000000000255,17.365999999999985,16.43000000000029,20.46600000000035,19.913000000000466,22.08100000000013,24.63800000000083,33.098000000000866,34.66400000000067,38.215000000000146,32.02400000000034,37.38200000000052,26.32300000000032,27.32000000000062
11.0,0.0,5.721999999999753,15.357999999999265,13.042999999999665,20.274999999999636,10.884000000000015,25.01299999999992,19.380999999999403,18.466999999999643,22.881999999999607,22.01800000000003,24.367999999999483,27.152999999999338,36.13599999999951,37.66699999999946,41.57299999999941,34.63599999999951,61.211999999999534,29.406999999999243,37.335000000000036
12.0,0.0,7.005000000000109,17.014000000000124,14.639000000000124,22.555999999999585,12.372999999999593,28.230999999999767,21.76000000000022,20.85899999999947,25.251000000000204,24.41699999999946,27.545999999999367,29.934000000000196,39.378999999999905,41.08100000000013,45.12199999999939,37.375,63.305999999999585,32.61999999999989,58.865999999999985
13.0,0.0,8.036000000000058,18.558999999999287,16.018999999999323,24.55699999999979,13.804999999999382,38.63299999999981,23.808999999999287,22.909999999999854,28.172999999999774,26.686999999999898,30.363999999999578,32.84299999999985,42.219999999999345,44.74799999999959,48.45899999999983,40.01999999999953,65.27999999999975,35.586999999999534,59.08399999999983
14.0,0.0,8.911000000000058,19.37800000000061,17.360000000000582,26.4320000000007,15.146999999999935,58.76800000000003,25.501000000000204,24.6850000000004,30.483000000000175,28.994000000000597,33.11700000000019,35.44599999999991,45.18299999999999,47.735999999999876,51.50600000000031,42.52800000000025,67.10800000000017,38.32300000000032,60.99200000000019
15.0,0.0,9.97899999999936,21.05499999999938,19.060999999999694,28.188999999999396,16.675999999999476,58.57099999999991,27.750999999999294,26.725999999999658,32.826999999999316,31.09399999999914,35.70799999999963,37.96399999999994,47.91899999999987,50.58799999999974,54.151999999999134,45.26099999999951,69.1239999999998,40.94999999999982,97.51199999999972
16.0,0.0,11.206000000000131,22.518999999999323,20.962999999999738,30.46900000000005,19.09599999999955,58.85499999999956,29.988999999999578,29.15599999999995,35.40700000000015,33.335000000000036,38.27899999999954,40.80799999999999,51.21799999999985,53.6909999999998,57.23399999999947,47.8149999999996,70.92000000000007,43.599999999999454,
17.0,0.0,12.1850000000004,24.042999999999665,22.8100000000004,33.021999999999935,28.949999999999818,59.32600000000002,31.79200000000037,30.91899999999987,37.82999999999993,35.53700000000026,40.51999999999953,43.284999999999854,54.14300000000003,56.85699999999997,61.85199999999986,49.912999999999556,72.31800000000021,46.03300000000036,
18.0,0.0,13.18499999999949,25.162999999999556,24.14599999999973,34.76800000000003,50.590000000000146,60.40899999999965,33.44200000000001,32.70899999999983,40.10499999999956,37.54699999999957,43.10999999999967,46.121000000000095,57.090000000000146,59.847999999999956,65.0619999999999,52.82499999999982,73.51099999999951,48.67099999999937,
19.0,0.0,13.919999999999163,26.6299999999992,25.087999999999738,36.219999999999345,51.50999999999931,61.30799999999999,35.4429999999993,34.56999999999971,42.30199999999968,39.28899999999976,45.5,48.69599999999991,59.76800000000003,63.76099999999951,67.96000000000004,55.16199999999935,74.86799999999948,52.08899999999994,
20.0,0.0,15.155999999999949,28.05999999999949,26.537000000000262,38.42000000000007,53.36799999999948,63.23399999999947,37.922999999999774,37.121000000000095,44.427999999999884,41.08399999999983,48.17900000000009,51.69200000000001,62.80999999999949,67.45499999999993,71.47699999999986,58.050999999999476,76.87299999999959,55.48499999999967,
