,VER,NOR,HAM,RUS,LEC,SAI,PIA,PER,GAS,OCO,HUL,ALO,ZHO,STR,RIC,BOT,MAG,ALB,TSU,SAR
1.0,0.6180000000003929,1.3850000000002183,1.8730000000000473,0.0,2.855000000000018,3.51700000000028,4.505000000000109,6.0470000000000255,4.016000000000076,4.89200000000028,5.402000000000044,6.622000000000298,8.484000000000378,7.038000000000011,9.182999999999993,7.432999999999993,8.065000000000055,11.352000000000317,7.756000000000313,8.939000000000306
2.0,0.6319999999996071,1.7429999999999382,2.6099999999996726,0.0,3.8399999999996908,4.325999999999567,6.254999999999654,8.423999999999978,5.3159999999998035,7.05199999999968,7.628999999999905,9.265999999999622,11.642999999999574,9.767999999999574,12.04699999999957,10.290999999999713,11.280999999999949,13.711999999999989,10.855999999999767,12.694999999999709
3.0,0.0,1.9900000000002365,3.0350000000003092,1.106999999999971,5.131000000000313,4.376000000000204,7.024000000000342,10.277000000000044,6.126000000000204,7.8650000000002365,9.016000000000076,11.182000000000244,14.163000000000011,11.776000000000295,14.702999999999975,12.408000000000357,13.387000000000171,15.887000000000171,13.053000000000338,15.190000000000055
4.0,0.0,1.9259999999999309,2.7649999999998727,1.1840000000001965,4.9340000000001965,4.235999999999876,7.054999999999836,11.608000000000175,6.039000000000215,8.35400000000027,10.19900000000007,12.371000000000095,15.75500000000011,13.13799999999992,16.31100000000015,13.932999999999993,15.001000000000204,17.398999999999887,14.69399999999996,16.981000000000222
5.0,0.0,2.23299999999972,2.987999999999829,1.2799999999997453,5.03899999999976,4.208999999999833,7.442999999999756,12.435999999999694,5.991999999999734,9.062999999999647,11.230000000000018,14.136999999999716,17.73799999999983,14.573999999999614,18.489000000000033,15.768000000000029,17.215999999999894,19.346999999999753,16.786000000000058,19.022999999999683
6.0,0.0,2.413000000000011,3.311999999999898,1.47400000000016,5.389999999999873,4.550000000000182,7.623000000000047,13.08600000000024,6.418999999999869,9.476999999999862,11.898999999999887,16.797000000000025,19.813000000000102,15.827999999999975,20.5329999999999,17.228000000000065,18.786000000000058,20.96900000000005,19.634000000000015,21.784000000000106
7.0,0.0,2.7330000000001746,3.562000000000353,1.8070000000002437,5.413000000000011,4.722999999999956,8.066000000000258,13.603000000000065,7.070999999999913,10.097000000000207,12.624000000000251,19.2800000000002,21.327000000000226,17.271000000000186,23.044000000000324,18.55500000000029,20.284000000000106,23.527000000000044,22.396000000000186,24.18000000000029
8.0,0.0,3.186999999999898,4.110999999999876,2.2539999999999054,5.817000000000007,5.04300000000012,8.606999999999971,14.624000000000251,7.829999999999927,10.89200000000028,13.476000000000113,20.833000000000084,22.9079999999999,18.641000000000076,25.121000000000095,20.06899999999996,21.514999999999873,25.76299999999992,24.365999999999985,26.536000000000058
9.0,0.0,3.287999999999556,4.27599999999984,2.380000000000109,6.104999999999563,5.221999999999753,9.0649999999996,15.063000000000102,8.469000000000051,11.639999999999418,14.063000000000102,22.143999999999323,27.75500000000011,19.456999999999425,26.514999999999418,21.318999999999505,22.667999999999665,27.558999999999287,29.32799999999952,28.28099999999995
10.0,0.0,3.507999999999811,4.653000000000247,2.6850000000004,6.1159999999999854,5.270999999999731,10.110999999999876,15.739999999999782,9.17699999999968,12.393000000000029,14.912000000000262,23.567000000000007,45.06700000000001,20.203999999999724,27.282000000000153,22.63000000000011,27.748999999999796,29.342999999999847,47.21100000000024,30.149000000000342
