,VER,OCO,GAS,RUS,LEC,NOR,TSU,PIA,LAW,HAM,PER,BEA,BOT,ALO,ZHO,SAI,COL,STR,HUL
1.0,8.644999999999527,3.951000000000022,7.536000000000058,0.0,4.4520000000002256,1.2869999999993524,3.2330000000001746,6.127999999999702,5.475999999999658,8.358000000000175,18.871000000000095,9.974999999999454,11.134000000000015,6.80199999999968,12.233999999999469,12.917999999999665,9.42699999999968,0.0,11.065999999999804
2.0,9.974999999999454,4.523000000000138,9.061999999999898,0.0,5.168999999999869,1.6899999999995998,3.7799999999997453,7.518000000000029,6.47899999999936,10.385999999999513,20.113999999999578,12.54699999999957,14.252999999999702,8.113999999999578,15.451999999999316,16.13499999999931,11.605999999999767,,12.837999999999738
3.0,10.61699999999928,5.26299999999992,10.131999999999607,0.0,5.77599999999984,1.4939999999996871,4.199999999999818,8.152999999999338,7.22899999999936,11.640999999999622,20.407000000000153,13.746999999999389,16.389999999999418,9.481999999999971,17.367999999999483,17.420999999999367,13.148000000000138,,14.420000000000073
4.0,11.67699999999968,5.323999999999614,11.35400000000027,0.0,6.298999999999978,1.0169999999998254,3.9830000000001746,8.423999999999978,7.804000000000087,12.658000000000357,21.03899999999976,20.26000000000022,17.818999999999505,10.55999999999949,19.89800000000014,18.318999999999505,15.190999999999804,,16.73700000000008
5.0,11.753999999999905,5.423999999999978,12.84100000000035,0.0,6.0,0.7119999999995343,4.095000000000255,8.653999999999542,7.8530000000000655,13.332999999999629,21.78399999999965,21.427999999999884,19.032000000000153,11.287000000000262,24.25799999999981,19.186999999999898,16.557999999999993,,16.952000000000226
6.0,11.389999999999418,5.759999999999309,13.769999999999527,0.0,6.411999999999352,0.9589999999998327,4.322999999999411,9.179000000000087,8.25,14.759000000000015,23.412999999999556,22.480999999999767,20.5,13.056999999999789,26.139999999999418,21.42699999999968,19.02599999999984,,17.43199999999979
7.0,10.878000000000611,6.286000000000058,14.239000000000487,0.0,6.911000000000058,1.1060000000006767,4.493000000000393,9.692000000000007,8.807000000000698,15.15900000000056,24.389000000000124,23.03900000000067,21.46900000000005,13.467000000000553,28.22700000000077,21.99200000000019,20.009000000000015,,18.10400000000027
8.0,10.947000000000116,6.652000000000044,14.877999999999702,0.0,7.3989999999994325,0.9719999999997526,5.184999999999491,10.425999999999476,9.456000000000131,15.72400000000016,24.902999999999338,23.87199999999939,22.36499999999978,13.58599999999933,29.802999999999884,22.857999999999265,21.182999999999993,,18.216999999999643
9.0,11.48700000000008,7.068000000000211,15.74499999999989,0.0,7.835000000000036,1.1159999999999854,5.779000000000451,11.057000000000698,9.900000000000546,16.132000000000517,25.918000000000575,24.798000000000684,22.978000000000065,14.050000000000182,31.480000000000473,23.811000000000604,21.993000000000393,,18.40400000000045
10.0,11.207000000000335,7.266000000000531,16.47100000000046,0.0,8.212000000000444,0.9090000000005602,6.076000000000022,12.524000000000342,10.581000000000131,17.16700000000037,26.53400000000056,25.618000000000393,24.53400000000056,15.226999999999862,32.896999999999935,24.92200000000048,23.673000000000684,,19.19300000000021
11.0,11.4350000000004,8.1200000000008,17.3720000000003,0.0,8.71600000000035,1.0910000000003492,7.1010000000005675,13.38800000000083,12.673000000000684,25.097000000000662,28.631000000000313,27.90599999999995,26.85200000000077,15.990999999999985,34.51300000000083,27.197000000000116,25.29400000000078,,20.270000000000437
12.0,10.649000000000342,8.545000000000073,19.30699999999979,0.0,9.25500000000011,0.9470000000001164,7.761999999999716,14.002000000000407,13.291000000000167,27.314000000000306,30.408000000000357,29.68199999999979,31.89300000000003,16.43199999999979,36.840000000000146,28.613999999999578,26.496000000000095,,20.426000000000386
13.0,10.488999999999578,8.798999999999978,19.571999999999207,0.0,9.52599999999984,1.0,8.261999999999716,14.516999999999825,13.828999999999724,27.200999999999112,31.376999999999498,30.224999999999454,33.85899999999947,16.64599999999973,39.99699999999939,28.234999999999673,26.388999999999214,,20.549999999999272
14.0,10.818000000000211,9.381000000000313,19.908000000000357,0.0,10.011999999999716,0.9750000000003638,8.627000000000407,15.36200000000008,14.180000000000291,27.248999999999796,32.67000000000007,30.1279999999997,34.712000000000444,16.97699999999986,42.680999999999585,28.085000000000036,26.67699999999968,,20.997999999999593
15.0,11.10400000000027,9.894000000000233,20.1850000000004,0.0,10.280999999999949,1.0529999999998836,8.878999999999905,15.903000000000247,14.951000000000022,28.65900000000056,33.5659999999998,30.475000000000364,35.76000000000022,17.172999999999774,44.677999999999884,29.136000000000422,27.949000000000524,,21.460000000000036
16.0,12.251000000000204,10.954999999999927,20.55199999999968,0.0,11.546000000000276,1.5529999999998836,9.657000000000153,16.8149999999996,15.951000000000022,30.122999999999593,34.050999999999476,31.546000000000276,36.67199999999957,21.8149999999996,46.818999999999505,30.943999999999505,29.302999999999884,,23.12199999999939
17.0,11.868999999999687,10.487999999999374,20.078999999999724,0.0,11.106999999999971,0.8159999999998035,9.670999999999367,16.659999999999854,15.765999999999622,30.144999999999527,33.735999999999876,31.777000000000044,36.889000000000124,21.61499999999978,47.96399999999994,30.90099999999984,29.55999999999949,,22.809000000000196
18.0,11.694000000000415,10.488000000000284,19.854999999999563,0.0,11.034999999999854,0.8980000000001382,9.795000000000073,16.76299999999992,16.024999999999636,31.756999999999607,35.163000000000466,32.23700000000008,37.654999999999745,21.22699999999986,49.11999999999989,31.35199999999986,29.972999999999956,,23.479999999999563
19.0,11.84900000000016,10.372000000000298,19.731000000000677,0.0,10.94000000000051,1.0250000000005457,9.731999999999971,16.988000000000284,16.29399999999987,34.29100000000017,35.23900000000049,33.5,38.40599999999995,21.676000000000386,50.15800000000036,31.215000000000146,30.663000000000466,,23.5570000000007
20.0,12.01299999999992,10.903000000000247,20.360999999999876,0.0,11.420000000000073,1.4710000000004584,10.144000000000233,17.515000000000327,16.577000000000226,34.85500000000047,36.01000000000022,34.163000000000466,39.639000000000124,21.873999999999796,51.460000000000036,32.76500000000033,32.27800000000025,,24.159999999999854
21.0,12.765000000000327,11.423000000000684,20.764000000000124,0.0,12.704999999999927,1.7310000000006767,10.806000000000495,18.09600000000046,17.230000000000473,35.722999999999956,36.90099999999984,35.12800000000061,40.847999999999956,22.447000000000116,53.95300000000043,33.878999999999905,33.0570000000007,,24.407000000000153
22.0,13.937000000000808,11.910000000000764,20.877000000000407,0.0,13.131000000000313,1.4400000000005093,11.313000000000102,18.438000000000102,17.712000000000444,36.34600000000046,38.400000000000546,35.762000000000626,42.10900000000038,22.94800000000032,55.707000000000335,37.77000000000044,34.05200000000059,,24.58600000000024
23.0,14.077000000000226,12.389000000000124,21.493999999999687,0.0,13.140999999999622,1.0450000000000728,11.72900000000027,19.085000000000036,18.585000000000036,36.77400000000034,39.430999999999585,35.9409999999998,42.94800000000032,23.024999999999636,58.01800000000003,38.82999999999993,38.21600000000035,,25.04200000000037
24.0,14.199999999999818,12.497999999999593,21.485999999999876,0.0,17.730999999999767,0.6199999999998909,11.939000000000306,19.466999999999643,18.93499999999949,36.340000000000146,40.89499999999953,35.96299999999974,43.74399999999969,22.88799999999992,59.697000000000116,40.10699999999997,38.92500000000018,,25.39099999999962
25.0,13.885999999999513,13.088999999999942,21.425999999999476,0.0,38.34299999999985,1.0270000000000437,12.378999999999905,19.914999999999964,19.3799999999992,37.034999999999854,42.68199999999979,36.22999999999956,44.79899999999998,22.860999999999876,62.56299999999919,41.03299999999945,40.289999999999964,,31.33099999999922
26.0,13.734000000000378,13.154999999999745,21.266999999999825,0.0,37.417999999999665,0.73700000000008,12.399000000000342,22.542999999999665,26.221999999999753,36.61400000000049,43.850000000000364,35.853000000000065,46.527000000000044,24.41700000000037,65.3789999999999,41.79600000000028,44.77099999999973,,52.56999999999971
27.0,15.25,12.897999999999229,24.055999999999585,0.0,45.8149999999996,0.738999999999578,14.354999999999563,32.15299999999934,37.009000000000015,49.80400000000009,59.1279999999997,47.40699999999924,60.615999999999985,35.628999999999905,86.85599999999977,56.11399999999958,80.03499999999985,,196.02499999999964
28.0,12.53899999999976,9.184000000000196,18.715000000000146,0.0,37.90799999999945,1.5230000000001382,16.96100000000024,39.085000000000036,35.626000000000204,55.21399999999994,65.36700000000019,64.53200000000015,52.94999999999982,42.126000000000204,98.80400000000009,64.5059999999994,68.41100000000006,,250.2489999999998
29.0,7.5460000000002765,0.0,10.971999999999753,12.971999999999753,27.27099999999973,13.97400000000016,22.36700000000019,30.15599999999995,50.9409999999998,50.52300000000014,57.021999999999935,58.51100000000042,53.05699999999979,37.54100000000017,127.52400000000034,56.63000000000011,61.8730000000005,,267.78400000000056
30.0,8.717999999999847,0.0,11.225000000000364,16.90599999999995,25.131000000000313,13.063000000000102,19.016999999999825,29.592999999999847,47.71600000000035,48.38000000000011,67.34799999999996,68.50700000000052,63.275000000000546,38.439000000000306,134.7400000000007,65.79100000000017,74.60000000000036,,324.3190000000004
31.0,1.574999999999818,0.0,5.88799999999992,10.280999999999949,13.978000000000065,7.916999999999462,12.104999999999563,16.839999999999236,27.66699999999946,28.300999999999476,46.2529999999997,48.39799999999923,43.422999999999774,22.971999999999753,163.26899999999932,45.09699999999975,,,
32.0,2.042000000000371,0.0,8.623999999999796,14.95300000000043,19.574999999999818,9.682999999999993,17.002000000000407,23.173999999999978,28.256000000000313,31.163000000000466,44.82000000000062,49.030000000000655,37.07300000000032,25.78899999999976,1397.2750000000005,41.21100000000024,,,
33.0,0.6300000000010186,0.0,1.2100000000009459,1.9380000000001019,2.9060000000008586,1.5140000000010332,2.8690000000005966,3.143000000000029,4.814000000000306,5.692000000000917,7.537000000000262,15.998000000001412,6.677000000001499,4.049000000000888,13.186000000001513,7.5900000000001455,,,
34.0,1.59900000000016,0.0,5.322999999998501,7.613999999999578,10.612999999999374,9.010000000000218,12.895999999998821,12.0,14.790999999999258,13.99200000000019,15.966999999998734,19.336999999999534,18.26800000000003,14.186999999999898,22.377999999998792,18.511999999998807,,,
35.0,2.6920000000009168,0.0,7.15099999999984,9.378000000000611,12.846000000001368,11.434000000001106,17.865999999999985,14.96900000000096,20.512000000000626,18.536000000000058,21.588000000001557,24.002000000000407,26.725000000000364,19.884000000000015,30.47900000000118,23.37800000000061,,,
36.0,3.4279999999998836,0.0,8.036000000000058,10.489999999999782,14.539999999999054,12.895999999998821,21.154999999998836,17.074000000000524,24.039999999999054,21.52599999999984,24.907999999999447,46.16599999999926,33.00699999999961,23.02900000000045,38.0619999999999,26.490999999999985,,,
37.0,3.4430000000011205,0.0,8.049000000000888,11.105000000001382,15.324000000000524,12.962000000001353,22.80000000000109,17.855000000001382,26.81500000000051,23.78100000000086,27.523000000001048,52.632000000001426,35.79700000000048,25.90100000000166,42.26300000000083,28.32100000000173,,,
38.0,3.231999999999971,0.0,8.683000000000902,11.393000000000029,15.602000000000771,13.641999999999825,23.986000000000786,18.43499999999949,29.08599999999933,25.549000000000888,30.165000000000873,55.17100000000028,38.538000000000466,27.860000000000582,45.64400000000023,30.48999999999978,,,
39.0,4.108000000000175,0.0,14.495999999999185,20.005999999999403,27.028000000000247,22.94000000000051,36.56999999999971,30.352999999999156,44.26900000000023,39.8700000000008,46.95299999999952,75.27100000000064,54.05999999999949,42.01900000000023,63.54199999999946,-9.904000000000451,,,
40.0,1.393000000000029,0.0,3.0819999999985157,5.110999999998967,10.49200000000019,7.381999999999607,15.949999999998909,11.716999999998734,22.456999999998516,17.579999999999927,23.638999999999214,55.39400000000023,33.465000000000146,20.795999999998457,41.974999999998545,,,,
41.0,0.9750000000003638,0.0,3.540000000000873,5.4210000000002765,10.583000000000538,7.007999999999811,15.768000000000029,12.106999999999971,21.299000000000888,17.363999999999578,23.14300000000003,28.3070000000007,25.041000000001077,18.828999999999724,26.988000000001193,,,,
42.0,0.38700000000062573,0.0,0.9160000000010768,0.9200000000000728,1.3140000000003056,1.1480000000010477,1.603000000000975,1.4540000000015425,3.600000000000364,1.923000000000684,3.6450000000004366,4.689000000000306,4.048000000000684,2.34900000000016,4.424000000000888,,,,
43.0,0.0,1.2910000000010768,2.382999999999811,4.541000000001077,4.048000000000684,6.123999999999796,7.1490000000012515,5.227000000000771,8.095000000001164,10.497000000001208,9.788000000000466,10.816000000000713,11.782000000001062,29.752000000000407,12.84100000000035,,,,
