,LEC,SAI,VER,NOR,PIA,RUS,PER,HUL,LAW,COL,MAG,GAS,ALO,TSU,STR,ALB,BOT,OCO,ZHO,HAM
1.0,0.0,2.286999999999807,1.6799999999998363,2.9459999999999127,3.963999999999942,11.687999999999647,6.144999999999982,7.111999999999625,8.944999999999709,9.990999999999985,5.110999999999876,4.476999999999862,6.431999999999789,5.623000000000047,8.542999999999665,11.285999999999603,10.760999999999967,16.76599999999962,9.442000000000007,8.08999999999969
2.0,0.0,1.8690000000001419,1.3299999999999272,3.469000000000051,5.391000000000076,14.849999999999909,8.2199999999998,9.61200000000008,11.413000000000011,12.654999999999745,6.807999999999993,6.2029999999999745,8.81100000000015,7.395999999999731,10.994000000000142,15.489000000000033,13.49499999999989,18.141999999999825,12.06100000000015,1.0799999999999272
3.0,0.0,2.60799999999972,1.30600000000004,5.005999999999858,8.527000000000044,32.43100000000004,17.389999999999873,20.998000000000047,23.692000000000007,27.188000000000102,12.493999999999687,12.20199999999977,19.597999999999956,16.123000000000047,22.121999999999844,29.31399999999985,29.167999999999665,33.31700000000001,26.166999999999916,
4.0,0.0,3.106999999999971,1.5369999999998072,4.388999999999669,6.342000000000098,31.19900000000007,16.779999999999745,19.19399999999996,23.404999999999745,26.61999999999989,11.653999999999996,10.733999999999924,17.88899999999967,15.125,21.269999999999982,34.125,28.13299999999981,32.677999999999884,24.50799999999981,
5.0,0.0,0.9479999999998654,0.4250000000001819,1.4340000000001965,1.9020000000000437,6.527999999999793,3.5210000000001855,4.1340000000000146,4.929000000000087,5.76299999999992,2.586999999999989,2.2409999999999854,3.7480000000000473,2.9079999999999018,4.619000000000142,7.403999999999996,6.135999999999967,7.030999999999949,5.378999999999905,
6.0,0.0,1.9989999999997963,1.2529999999997017,3.145999999999731,4.7039999999997235,11.756000000000313,7.145999999999731,8.273000000000138,8.903000000000247,10.149999999999636,5.947000000000116,5.386000000000422,7.838999999999942,6.515999999999622,12.764000000000124,13.104999999999563,10.784999999999854,12.420000000000073,9.686999999999898,
7.0,0.0,2.1130000000002838,1.4140000000006694,4.045000000000073,6.220000000000255,14.083999999999833,9.279000000000451,10.131000000000313,11.342999999999847,12.858000000000175,8.11700000000019,7.302999999999884,10.677999999999884,8.67700000000059,15.34100000000035,16.162000000000262,13.395000000000437,14.773000000000138,12.217000000000553,
8.0,0.0,3.75,2.188999999999396,5.1489999999994325,7.59099999999944,16.300999999999476,11.100999999999658,12.108999999999469,13.592999999999847,15.001999999999498,9.64599999999973,9.032999999999447,12.878999999999905,10.470999999999549,17.906999999999243,18.998999999999796,15.570999999999913,17.14099999999962,14.384000000000015,
9.0,0.0,4.515000000000327,2.963999999999942,6.087999999999738,8.618999999999687,18.957000000000335,13.246000000000095,14.502999999999702,16.435999999999694,17.725000000000364,11.023000000000138,10.488000000000284,15.596999999999753,12.167000000000371,20.6220000000003,21.743000000000393,18.345000000000255,19.72099999999955,17.037000000000262,
10.0,0.0,4.980999999999767,3.51299999999992,7.036000000000058,9.536999999999352,21.529999999999745,14.96099999999933,16.381999999999607,19.027000000000044,20.005999999999403,12.889000000000124,11.63799999999992,18.10399999999936,13.938000000000102,23.014000000000124,25.057999999999993,20.672999999999774,22.39300000000003,28.30199999999968,
11.0,0.0,5.735999999999876,4.162000000000262,8.106999999999971,10.54699999999957,24.097999999999956,16.889000000000124,18.47400000000016,20.965000000000146,22.64800000000014,14.988999999999578,13.332000000000335,21.83299999999963,15.953999999999724,26.193999999999505,27.68000000000029,23.376000000000204,25.054000000000087,31.44800000000032,
