Driver,Position,Time,Status,Points
VER,1,01:40:52.554000,Finished,25
NOR,2,+00:00:13.773000,Finished,18
PER,3,+00:00:19.160000,Finished,15
LEC,4,+00:00:23.623000,Finished,12
SAI,5,+00:00:33.983000,Finished,10
RUS,6,+00:00:38.724000,Finished,8
ALO,7,+00:00:43.414000,Finished,7
PIA,8,+00:00:56.198000,Finished,4
HAM,9,+00:00:57.986000,Finished,2
HUL,10,+00:01:00.476000,Finished,1
OCO,11,+00:01:02.812000,Finished,0
ALB,12,+00:01:05.506000,Finished,0
GAS,13,+00:01:09.223000,Finished,0
ZHO,14,+00:01:11.689000,Finished,0
STR,15,+00:01:22.786000,Finished,0
MAG,16,+00:01:27.533000,Finished,0
SAR,17,+00:01:35.110000,Finished,0
RIC,18,,Retired,0
TSU,19,,Retired,0
BOT,20,,Retired,0
