Driver,Position,Time,Status,Points
SAI,1,01:40:55.800000,Finished,25
NOR,2,+00:00:04.705000,Finished,18
LEC,3,+00:00:34.387000,Finished,16
HAM,4,+00:00:44.780000,Finished,12
RUS,5,+00:00:48.536000,Finished,10
VER,6,+00:00:59.558000,Finished,8
MAG,7,+00:01:03.642000,Finished,6
PIA,8,+00:01:04.928000,Finished,4
HUL,9,,+1 Lap,2
GAS,10,,+1 Lap,1
STR,11,,+1 Lap,0
COL,12,,+1 Lap,0
OCO,13,,+1 Lap,0
BOT,14,,+1 Lap,0
ZHO,15,,+1 Lap,0
LAW,16,,+1 Lap,0
PER,17,,+1 Lap,0
ALO,18,,Brakes,0
ALB,19,,Collision,0
TSU,20,,Collision,0
