Driver,Position,Time,Status,Points
VER,1,02:06:54.430000,Finished,26
OCO,2,+00:00:19.477000,Finished,18
GAS,3,+00:00:22.532000,Finished,15
RUS,4,+00:00:23.265000,Finished,12
LEC,5,+00:00:30.177000,Finished,10
NOR,6,+00:00:31.372000,Finished,8
TSU,7,+00:00:42.056000,Finished,6
PIA,8,+00:00:44.943000,Finished,4
LAW,9,+00:00:50.452000,Finished,2
HAM,10,+00:00:50.753000,Finished,1
PER,11,+00:00:51.531000,Finished,0
BEA,12,+00:00:57.085000,Finished,0
BOT,13,+00:01:03.588000,Finished,0
ALO,14,+00:01:18.049000,Finished,0
ZHO,15,+00:01:19.649000,Finished,0
SAI,16,,Accident,0
COL,17,,Accident,0
ALB,18,,Withdrew,0
STR,19,,Withdrew,0
HUL,20,,Disqualified,0
