,DriverNumber,Abbreviation,DriverId,TeamName,TeamColor,TeamId,Position,ClassifiedPosition,Q1,Q2,Q3,Time,Event_Name
0,33,VER,max_verstappen,Red Bull Racing,0600EF,red_bull,1.0,,0 days 00:01:30.499000,0 days 00:01:30.318000,0 days 00:01:28.997000,,Bahrain Grand Prix
1,44,HAM,hamilton,Mercedes,00D2BE,mercedes,2.0,,0 days 00:01:30.617000,0 days 00:01:30.085000,0 days 00:01:29.385000,,Bahrain Grand Prix
2,77,BOT,bottas,Mercedes,00D2BE,mercedes,3.0,,0 days 00:01:31.200000,0 days 00:01:30.186000,0 days 00:01:29.586000,,Bahrain Grand Prix
3,16,LEC,leclerc,Ferrari,DC0004,ferrari,4.0,,0 days 00:01:30.691000,0 days 00:01:30.010000,0 days 00:01:29.678000,,Bahrain Grand Prix
4,10,GAS,gasly,AlphaTauri,2B4562,alphatauri,5.0,,0 days 00:01:30.848000,0 days 00:01:30.513000,0 days 00:01:29.809000,,Bahrain Grand Prix
5,3,RIC,ricciardo,McLaren,FF9800,mclaren,6.0,,0 days 00:01:30.795000,0 days 00:01:30.222000,0 days 00:01:29.927000,,Bahrain Grand Prix
6,4,NOR,norris,McLaren,FF9800,mclaren,7.0,,0 days 00:01:30.902000,0 days 00:01:30.099000,0 days 00:01:29.974000,,Bahrain Grand Prix
7,55,SAI,sainz,Ferrari,DC0004,ferrari,8.0,,0 days 00:01:31.653000,0 days 00:01:30.009000,0 days 00:01:30.215000,,Bahrain Grand Prix
8,14,ALO,alonso,Alpine,0090FF,alpine,9.0,,0 days 00:01:30.863000,0 days 00:01:30.595000,0 days 00:01:30.249000,,Bahrain Grand Prix
9,18,STR,stroll,Aston Martin,006F62,aston_martin,10.0,,0 days 00:01:31.261000,0 days 00:01:30.624000,0 days 00:01:30.601000,,Bahrain Grand Prix
10,11,PER,perez,Red Bull Racing,0600EF,red_bull,11.0,,0 days 00:01:31.165000,0 days 00:01:30.659000,,,Bahrain Grand Prix
11,99,GIO,giovinazzi,Alfa Romeo Racing,900000,alfa,12.0,,0 days 00:01:30.998000,0 days 00:01:30.708000,,,Bahrain Grand Prix
12,22,TSU,tsunoda,AlphaTauri,2B4562,alphatauri,13.0,,0 days 00:01:30.607000,0 days 00:01:31.203000,,,Bahrain Grand Prix
13,7,RAI,raikkonen,Alfa Romeo Racing,900000,alfa,14.0,,0 days 00:01:31.547000,0 days 00:01:31.238000,,,Bahrain Grand Prix
14,63,RUS,russell,Williams,005AFF,williams,15.0,,0 days 00:01:31.316000,0 days 00:01:33.430000,,,Bahrain Grand Prix
15,31,OCO,ocon,Alpine,0090FF,alpine,16.0,,0 days 00:01:31.724000,,,,Bahrain Grand Prix
16,6,LAT,latifi,Williams,005AFF,williams,17.0,,0 days 00:01:31.936000,,,,Bahrain Grand Prix
17,5,VET,vettel,Aston Martin,006F62,aston_martin,18.0,,0 days 00:01:32.056000,,,,Bahrain Grand Prix
18,47,MSC,mick_schumacher,Haas F1 Team,FFFFFF,haas,19.0,,0 days 00:01:32.449000,,,,Bahrain Grand Prix
19,9,MAZ,mazepin,Haas F1 Team,FFFFFF,haas,20.0,,0 days 00:01:33.273000,,,,Bahrain Grand Prix
20,44,HAM,hamilton,Mercedes,00D2BE,mercedes,1.0,,0 days 00:01:14.823000,0 days 00:01:14.817000,0 days 00:01:14.411000,,Emilia Romagna Grand Prix
21,11,PER,perez,Red Bull Racing,0600EF,red_bull,2.0,,0 days 00:01:15.395000,0 days 00:01:14.716000,0 days 00:01:14.446000,,Emilia Romagna Grand Prix
22,33,VER,max_verstappen,Red Bull Racing,0600EF,red_bull,3.0,,0 days 00:01:15.109000,0 days 00:01:14.884000,0 days 00:01:14.498000,,Emilia Romagna Grand Prix
23,16,LEC,leclerc,Ferrari,DC0004,ferrari,4.0,,0 days 00:01:15.413000,0 days 00:01:14.808000,0 days 00:01:14.740000,,Emilia Romagna Grand Prix
24,10,GAS,gasly,AlphaTauri,2B4562,alphatauri,5.0,,0 days 00:01:15.548000,0 days 00:01:14.927000,0 days 00:01:14.790000,,Emilia Romagna Grand Prix
25,3,RIC,ricciardo,McLaren,FF9800,mclaren,6.0,,0 days 00:01:15.669000,0 days 00:01:15.033000,0 days 00:01:14.826000,,Emilia Romagna Grand Prix
26,4,NOR,norris,McLaren,FF9800,mclaren,7.0,,0 days 00:01:15.009000,0 days 00:01:14.718000,0 days 00:01:14.875000,,Emilia Romagna Grand Prix
27,77,BOT,bottas,Mercedes,00D2BE,mercedes,8.0,,0 days 00:01:14.672000,0 days 00:01:14.905000,0 days 00:01:14.898000,,Emilia Romagna Grand Prix
28,31,OCO,ocon,Alpine,0090FF,alpine,9.0,,0 days 00:01:15.385000,0 days 00:01:15.117000,0 days 00:01:15.210000,,Emilia Romagna Grand Prix
29,18,STR,stroll,Aston Martin,006F62,aston_martin,10.0,,0 days 00:01:15.522000,0 days 00:01:15.138000,,,Emilia Romagna Grand Prix
