,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Event_Name
0,0 days 00:21:38.614000,30.0,41.9,1009.3,False,34.8,350,0.9,Bahrain Grand Prix
1,0 days 00:24:38.617000,29.8,42.3,1009.4,False,34.6,352,0.9,Bahrain Grand Prix
2,0 days 00:25:38.606000,29.8,42.4,1009.6,False,34.6,345,0.9,Bahrain Grand Prix
3,0 days 00:27:38.610000,29.7,42.4,1009.5,False,34.6,351,1.0,Bahrain Grand Prix
4,0 days 00:44:38.610000,28.6,60.6,1010.0,False,31.7,5,1.1,Bahrain Grand Prix
5,0 days 00:46:38.613000,28.0,61.3,1010.0,False,31.7,8,0.9,Bahrain Grand Prix
6,0 days 00:48:38.619000,27.7,60.7,1010.0,False,32.3,12,1.2,Bahrain Grand Prix
7,0 days 00:54:38.632000,27.7,53.8,1010.2,False,33.1,353,0.9,Bahrain Grand Prix
8,0 days 00:55:38.643000,27.7,51.9,1010.1,False,33.2,11,1.0,Bahrain Grand Prix
9,0 days 00:57:38.655000,27.9,51.4,1010.1,False,33.3,6,0.7,Bahrain Grand Prix
10,0 days 01:06:38.705000,28.1,47.0,1010.3,False,32.7,6,1.2,Bahrain Grand Prix
11,0 days 01:08:38.704000,28.1,45.9,1010.2,False,32.6,353,1.0,Bahrain Grand Prix
12,0 days 01:09:38.730000,28.1,45.4,1010.2,False,32.7,353,0.9,Bahrain Grand Prix
13,0 days 01:14:38.733000,28.3,43.6,1010.3,False,32.6,2,1.0,Bahrain Grand Prix
14,0 days 01:15:38.732000,28.3,43.3,1010.3,False,32.6,5,1.1,Bahrain Grand Prix
15,0 days 00:21:38.614000,30.0,41.9,1009.3,False,34.8,350,0.9,Bahrain Grand Prix
16,0 days 00:23:38.616000,29.8,42.1,1009.4,False,34.8,0,0.8,Bahrain Grand Prix
17,0 days 00:25:38.606000,29.8,42.4,1009.6,False,34.6,345,0.9,Bahrain Grand Prix
18,0 days 00:26:38.613000,29.7,42.3,1009.4,False,34.6,6,0.8,Bahrain Grand Prix
19,0 days 00:33:38.612000,29.5,42.7,1009.5,False,34.0,3,0.8,Bahrain Grand Prix
20,0 days 00:34:38.614000,29.5,42.4,1009.6,False,34.0,0,1.1,Bahrain Grand Prix
21,0 days 00:36:38.615000,29.7,41.5,1009.8,False,34.4,5,0.9,Bahrain Grand Prix
22,0 days 00:44:38.610000,28.6,60.6,1010.0,False,31.7,5,1.1,Bahrain Grand Prix
23,0 days 00:46:38.613000,28.0,61.3,1010.0,False,31.7,8,0.9,Bahrain Grand Prix
24,0 days 00:48:38.619000,27.7,60.7,1010.0,False,32.3,12,1.2,Bahrain Grand Prix
25,0 days 00:53:38.630000,27.6,55.0,1010.0,False,32.9,359,1.2,Bahrain Grand Prix
26,0 days 00:55:38.643000,27.7,51.9,1010.1,False,33.2,11,1.0,Bahrain Grand Prix
27,0 days 00:57:38.655000,27.9,51.4,1010.1,False,33.3,6,0.7,Bahrain Grand Prix
28,0 days 01:06:38.705000,28.1,47.0,1010.3,False,32.7,6,1.2,Bahrain Grand Prix
29,0 days 01:07:38.702000,28.1,46.5,1010.3,False,32.6,359,1.2,Bahrain Grand Prix
30,0 days 01:09:38.730000,28.1,45.4,1010.2,False,32.7,353,0.9,Bahrain Grand Prix
31,0 days 01:14:38.733000,28.3,43.6,1010.3,False,32.6,2,1.0,Bahrain Grand Prix
32,0 days 01:15:38.732000,28.3,43.3,1010.3,False,32.6,5,1.1,Bahrain Grand Prix
33,0 days 00:21:38.614000,30.0,41.9,1009.3,False,34.8,350,0.9,Bahrain Grand Prix
34,0 days 00:23:38.616000,29.8,42.1,1009.4,False,34.8,0,0.8,Bahrain Grand Prix
35,0 days 00:25:38.606000,29.8,42.4,1009.6,False,34.6,345,0.9,Bahrain Grand Prix
36,0 days 00:26:38.613000,29.7,42.3,1009.4,False,34.6,6,0.8,Bahrain Grand Prix
37,0 days 00:33:38.612000,29.5,42.7,1009.5,False,34.0,3,0.8,Bahrain Grand Prix
38,0 days 00:35:38.602000,29.6,42.1,1009.6,False,34.4,0,0.8,Bahrain Grand Prix
39,0 days 00:44:38.610000,28.6,60.6,1010.0,False,31.7,5,1.1,Bahrain Grand Prix
40,0 days 00:46:38.613000,28.0,61.3,1010.0,False,31.7,8,0.9,Bahrain Grand Prix
41,0 days 00:48:38.619000,27.7,60.7,1010.0,False,32.3,12,1.2,Bahrain Grand Prix
42,0 days 00:53:38.630000,27.6,55.0,1010.0,False,32.9,359,1.2,Bahrain Grand Prix
43,0 days 00:54:38.632000,27.7,53.8,1010.2,False,33.1,353,0.9,Bahrain Grand Prix
44,0 days 00:56:38.655000,27.9,51.8,1010.2,False,33.2,7,0.8,Bahrain Grand Prix
45,0 days 01:06:38.705000,28.1,47.0,1010.3,False,32.7,6,1.2,Bahrain Grand Prix
46,0 days 01:07:38.702000,28.1,46.5,1010.3,False,32.6,359,1.2,Bahrain Grand Prix
47,0 days 01:09:38.730000,28.1,45.4,1010.2,False,32.7,353,0.9,Bahrain Grand Prix
48,0 days 01:14:38.733000,28.3,43.6,1010.3,False,32.6,2,1.0,Bahrain Grand Prix
49,0 days 01:15:38.732000,28.3,43.3,1010.3,False,32.6,5,1.1,Bahrain Grand Prix
50,0 days 00:20:38.623000,30.0,41.3,1009.2,False,34.8,356,1.0,Bahrain Grand Prix
51,0 days 00:23:38.616000,29.8,42.1,1009.4,False,34.8,0,0.8,Bahrain Grand Prix
52,0 days 00:24:38.617000,29.8,42.3,1009.4,False,34.6,352,0.9,Bahrain Grand Prix
53,0 days 00:26:38.613000,29.7,42.3,1009.4,False,34.6,6,0.8,Bahrain Grand Prix
54,0 days 00:32:38.616000,29.5,42.6,1009.6,False,34.2,5,1.2,Bahrain Grand Prix
55,0 days 00:33:38.612000,29.5,42.7,1009.5,False,34.0,3,0.8,Bahrain Grand Prix
56,0 days 00:35:38.602000,29.6,42.1,1009.6,False,34.4,0,0.8,Bahrain Grand Prix
57,0 days 00:45:38.612000,28.5,61.2,1010.0,False,31.6,5,1.1,Bahrain Grand Prix
58,0 days 00:46:38.613000,28.0,61.3,1010.0,False,31.7,8,0.9,Bahrain Grand Prix
59,0 days 00:48:38.619000,27.7,60.7,1010.0,False,32.3,12,1.2,Bahrain Grand Prix
60,0 days 00:53:38.630000,27.6,55.0,1010.0,False,32.9,359,1.2,Bahrain Grand Prix
61,0 days 00:55:38.643000,27.7,51.9,1010.1,False,33.2,11,1.0,Bahrain Grand Prix
62,0 days 00:57:38.655000,27.9,51.4,1010.1,False,33.3,6,0.7,Bahrain Grand Prix
63,0 days 01:14:38.733000,28.3,43.6,1010.3,False,32.6,2,1.0,Bahrain Grand Prix
64,0 days 01:16:38.734000,28.4,41.8,1010.4,False,32.6,357,1.1,Bahrain Grand Prix
65,0 days 00:21:38.614000,30.0,41.9,1009.3,False,34.8,350,0.9,Bahrain Grand Prix
