,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Event_Name
0,0 days 00:15:43.874000,12.6,84.0,1006.9,True,17.9,35,1.0,Canadian Grand Prix
1,0 days 00:17:43.891000,12.6,84.0,1006.7,True,18.1,55,1.2,Canadian Grand Prix
2,0 days 00:19:43.910000,12.7,84.0,1006.7,True,18.2,39,1.0,Canadian Grand Prix
3,0 days 00:20:43.924000,12.8,85.0,1006.7,True,18.2,41,1.1,Canadian Grand Prix
4,0 days 00:22:43.943000,12.8,85.0,1007.0,True,18.2,349,1.3,Canadian Grand Prix
5,0 days 00:24:43.958000,12.7,84.0,1006.7,True,18.1,19,1.6,Canadian Grand Prix
6,0 days 00:25:43.954000,12.7,84.0,1007.0,True,18.2,13,1.7,Canadian Grand Prix
7,0 days 00:27:43.953000,12.9,85.0,1006.9,True,18.1,326,1.7,Canadian Grand Prix
8,0 days 00:28:43.961000,12.9,85.0,1007.0,True,18.1,344,1.0,Canadian Grand Prix
9,0 days 00:30:43.955000,12.9,84.0,1007.0,True,18.3,317,2.2,Canadian Grand Prix
10,0 days 00:32:43.956000,12.9,84.0,1007.0,True,18.2,7,1.7,Canadian Grand Prix
11,0 days 00:41:43.963000,13.2,81.0,1007.0,True,18.5,152,1.3,Canadian Grand Prix
12,0 days 00:42:43.953000,13.1,81.0,1007.0,True,18.5,328,0.8,Canadian Grand Prix
13,0 days 00:44:43.953000,13.3,81.0,1007.0,False,18.6,341,1.2,Canadian Grand Prix
14,0 days 00:46:43.968000,13.5,81.0,1007.0,False,18.6,339,1.5,Canadian Grand Prix
15,0 days 00:48:43.952000,13.6,80.0,1007.0,False,18.5,310,0.8,Canadian Grand Prix
16,0 days 00:49:43.952000,13.5,79.0,1007.0,False,18.6,351,1.0,Canadian Grand Prix
17,0 days 00:51:43.951000,13.4,77.0,1007.2,True,18.5,14,2.0,Canadian Grand Prix
18,0 days 00:52:43.950000,13.3,76.0,1007.0,True,18.5,346,3.0,Canadian Grand Prix
19,0 days 00:54:43.952000,13.5,74.0,1007.0,False,18.1,339,2.4,Canadian Grand Prix
20,0 days 00:55:43.957000,13.7,74.0,1007.2,False,18.0,9,1.3,Canadian Grand Prix
21,0 days 01:15:44.047000,14.8,65.0,1007.0,False,18.5,349,2.0,Canadian Grand Prix
22,0 days 01:17:44.050000,14.7,64.0,1007.0,False,18.3,18,1.8,Canadian Grand Prix
23,0 days 01:18:44.047000,14.6,64.0,1007.0,False,18.3,19,3.7,Canadian Grand Prix
24,0 days 01:20:44.048000,14.9,64.0,1007.0,False,18.3,25,2.2,Canadian Grand Prix
25,0 days 01:21:44.045000,14.9,65.0,1007.0,False,18.3,2,1.6,Canadian Grand Prix
26,0 days 01:23:44.045000,15.0,63.0,1007.0,False,18.3,347,2.7,Canadian Grand Prix
27,0 days 01:24:44.046000,15.0,64.0,1007.2,False,18.3,94,1.8,Canadian Grand Prix
28,0 days 01:26:44.064000,15.2,62.0,1007.2,False,18.1,10,2.7,Canadian Grand Prix
29,0 days 01:27:44.064000,15.1,62.0,1007.2,False,18.0,353,4.0,Canadian Grand Prix
30,0 days 00:16:43.891000,12.5,84.0,1006.7,True,18.1,19,1.6,Canadian Grand Prix
31,0 days 00:18:43.917000,12.7,84.0,1006.9,True,18.2,291,1.3,Canadian Grand Prix
32,0 days 00:20:43.924000,12.8,85.0,1006.7,True,18.2,41,1.1,Canadian Grand Prix
33,0 days 00:21:43.943000,12.8,84.0,1006.9,True,18.2,348,1.7,Canadian Grand Prix
34,0 days 00:23:44.246000,12.9,85.0,1006.9,True,18.2,347,1.7,Canadian Grand Prix
35,0 days 00:25:43.954000,12.7,84.0,1007.0,True,18.2,13,1.7,Canadian Grand Prix
36,0 days 00:26:43.961000,12.8,85.0,1007.0,True,18.1,4,1.5,Canadian Grand Prix
37,0 days 00:28:43.961000,12.9,85.0,1007.0,True,18.1,344,1.0,Canadian Grand Prix
38,0 days 00:30:43.955000,12.9,84.0,1007.0,True,18.3,317,2.2,Canadian Grand Prix
39,0 days 00:31:43.962000,12.8,84.0,1007.0,True,18.2,358,1.2,Canadian Grand Prix
40,0 days 00:33:43.948000,12.8,83.0,1007.0,True,18.2,10,2.0,Canadian Grand Prix
41,0 days 00:40:43.952000,13.2,81.0,1007.0,True,18.5,3,1.6,Canadian Grand Prix
42,0 days 00:42:43.953000,13.1,81.0,1007.0,True,18.5,328,0.8,Canadian Grand Prix
43,0 days 00:44:43.953000,13.3,81.0,1007.0,False,18.6,341,1.2,Canadian Grand Prix
44,0 days 00:45:43.952000,13.4,80.0,1007.0,False,18.6,4,2.0,Canadian Grand Prix
45,0 days 00:59:43.992000,13.9,71.0,1007.2,False,18.1,336,1.3,Canadian Grand Prix
46,0 days 01:01:43.973000,14.0,69.0,1007.0,False,18.0,355,3.9,Canadian Grand Prix
47,0 days 01:02:43.971000,14.0,68.0,1007.0,False,18.2,9,3.0,Canadian Grand Prix
48,0 days 01:04:44.009000,14.2,66.0,1007.0,False,17.9,18,4.0,Canadian Grand Prix
49,0 days 01:05:43.999000,14.3,68.0,1007.0,False,17.8,1,2.2,Canadian Grand Prix
50,0 days 01:07:44,14.6,67.0,1007.0,False,17.9,348,2.5,Canadian Grand Prix
51,0 days 01:16:44.051000,14.7,66.0,1007.0,False,18.5,11,2.2,Canadian Grand Prix
52,0 days 01:17:44.050000,14.7,64.0,1007.0,False,18.3,18,1.8,Canadian Grand Prix
53,0 days 01:19:44.054000,14.9,65.0,1007.0,False,18.3,12,1.6,Canadian Grand Prix
54,0 days 01:20:44.048000,14.9,64.0,1007.0,False,18.3,25,2.2,Canadian Grand Prix
55,0 days 01:23:44.045000,15.0,63.0,1007.0,False,18.3,347,2.7,Canadian Grand Prix
56,0 days 01:25:44.050000,15.1,65.0,1007.2,False,18.1,358,1.3,Canadian Grand Prix
57,0 days 01:27:44.064000,15.1,62.0,1007.2,False,18.0,353,4.0,Canadian Grand Prix
58,0 days 01:28:44.077000,15.1,62.0,1007.2,False,17.9,9,2.2,Canadian Grand Prix
59,0 days 00:16:43.891000,12.5,84.0,1006.7,True,18.1,19,1.6,Canadian Grand Prix
60,0 days 00:18:43.917000,12.7,84.0,1006.9,True,18.2,291,1.3,Canadian Grand Prix
61,0 days 00:20:43.924000,12.8,85.0,1006.7,True,18.2,41,1.1,Canadian Grand Prix
62,0 days 00:21:43.943000,12.8,84.0,1006.9,True,18.2,348,1.7,Canadian Grand Prix
63,0 days 00:23:44.246000,12.9,85.0,1006.9,True,18.2,347,1.7,Canadian Grand Prix
64,0 days 00:25:43.954000,12.7,84.0,1007.0,True,18.2,13,1.7,Canadian Grand Prix
65,0 days 00:26:43.961000,12.8,85.0,1007.0,True,18.1,4,1.5,Canadian Grand Prix
66,0 days 00:28:43.961000,12.9,85.0,1007.0,True,18.1,344,1.0,Canadian Grand Prix
67,0 days 00:30:43.955000,12.9,84.0,1007.0,True,18.3,317,2.2,Canadian Grand Prix
68,0 days 00:31:43.962000,12.8,84.0,1007.0,True,18.2,358,1.2,Canadian Grand Prix
69,0 days 00:41:43.963000,13.2,81.0,1007.0,True,18.5,152,1.3,Canadian Grand Prix
70,0 days 00:43:43.957000,13.0,82.0,1007.0,False,18.6,326,0.8,Canadian Grand Prix
71,0 days 00:44:43.953000,13.3,81.0,1007.0,False,18.6,341,1.2,Canadian Grand Prix
72,0 days 00:58:43.956000,13.9,70.0,1007.0,False,18.1,99,3.0,Canadian Grand Prix
73,0 days 01:00:43.971000,14.1,72.0,1007.2,False,17.9,4,1.6,Canadian Grand Prix
74,0 days 01:02:43.971000,14.0,68.0,1007.0,False,18.2,9,3.0,Canadian Grand Prix
75,0 days 01:03:43.993000,14.1,67.0,1006.9,False,18.0,4,3.2,Canadian Grand Prix
76,0 days 01:05:43.999000,14.3,68.0,1007.0,False,17.8,1,2.2,Canadian Grand Prix
77,0 days 01:06:44.001000,14.4,66.0,1007.0,False,17.8,10,2.5,Canadian Grand Prix
78,0 days 01:08:44,14.7,67.0,1007.0,False,18.0,1,2.2,Canadian Grand Prix
79,0 days 01:15:44.047000,14.8,65.0,1007.0,False,18.5,349,2.0,Canadian Grand Prix
80,0 days 01:17:44.050000,14.7,64.0,1007.0,False,18.3,18,1.8,Canadian Grand Prix
81,0 days 01:18:44.047000,14.6,64.0,1007.0,False,18.3,19,3.7,Canadian Grand Prix
