,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Session_ID,Event_Name
0,0 days 00:18:36.345000,VER,1,,1.0,1.0,0 days 00:16:40.628000,,,0 days 00:00:38.518000,0 days 00:00:44.186000,,0 days 00:17:52.298000,0 days 00:18:36.563000,153.0,196.0,302.0,199.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:16:40.628000,2023-11-17 04:31:40.629,1,,False,,False,False,16.7,66.0,943.7,False,18.7,232,0.5,Practice 1,Las Vegas Grand Prix
1,0 days 00:20:21.545000,VER,1,0 days 00:01:45.200000,2.0,1.0,,,0 days 00:00:31.296000,0 days 00:00:34.817000,0 days 00:00:39.087000,0 days 00:19:07.641000,0 days 00:19:42.458000,0 days 00:20:21.545000,167.0,201.0,311.0,245.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:18:36.345000,2023-11-17 04:33:36.346,1,,False,,False,True,16.7,66.0,943.7,False,18.7,233,0.8,Practice 1,Las Vegas Grand Prix
2,0 days 00:22:05.942000,VER,1,0 days 00:01:44.397000,3.0,1.0,,,0 days 00:00:30.125000,0 days 00:00:34.897000,0 days 00:00:39.375000,0 days 00:20:51.670000,0 days 00:21:26.567000,0 days 00:22:05.942000,171.0,203.0,312.0,254.0,True,MEDIUM,3.0,True,Red Bull Racing,0 days 00:20:21.545000,2023-11-17 04:35:21.546,1,,False,,False,True,16.7,66.0,943.7,False,18.7,227,0.8,Practice 1,Las Vegas Grand Prix
3,0 days 00:24:00.698000,VER,1,,4.0,1.0,,0 days 00:24:00.698000,0 days 00:00:29.292000,0 days 00:00:33.621000,,0 days 00:22:35.418000,0 days 00:23:09.058000,,177.0,204.0,,197.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 00:22:05.942000,2023-11-17 04:37:05.943,125,,False,,False,False,16.8,66.0,943.7,False,18.8,230,0.8,Practice 1,Las Vegas Grand Prix
4,0 days 00:17:19.657000,GAS,10,,1.0,1.0,0 days 00:15:22.129000,,,0 days 00:00:43.355000,0 days 00:00:41.297000,,0 days 00:16:38.456000,0 days 00:17:19.783000,146.0,187.0,212.0,274.0,False,MEDIUM,1.0,True,Alpine,0 days 00:15:22.129000,2023-11-17 04:30:22.130,1,,False,,False,False,16.6,66.0,943.7,False,18.7,0,0.0,Practice 1,Las Vegas Grand Prix
5,0 days 00:19:14.015000,GAS,10,0 days 00:01:54.358000,2.0,1.0,,,0 days 00:00:34.385000,0 days 00:00:40.056000,0 days 00:00:39.917000,0 days 00:17:54.042000,0 days 00:18:34.098000,0 days 00:19:14.015000,150.0,196.0,241.0,283.0,True,MEDIUM,2.0,True,Alpine,0 days 00:17:19.657000,2023-11-17 04:32:19.658,1,,False,,False,True,16.7,66.0,943.7,False,18.7,232,0.5,Practice 1,Las Vegas Grand Prix
6,0 days 00:21:08.914000,GAS,10,0 days 00:01:54.899000,3.0,1.0,,,0 days 00:00:33.273000,0 days 00:00:38.849000,0 days 00:00:42.777000,0 days 00:19:47.288000,0 days 00:20:26.137000,0 days 00:21:08.914000,157.0,194.0,264.0,195.0,False,MEDIUM,3.0,True,Alpine,0 days 00:19:14.015000,2023-11-17 04:34:14.016,1,,False,,False,True,16.7,66.0,943.7,False,18.7,233,0.8,Practice 1,Las Vegas Grand Prix
7,0 days 00:22:57.167000,GAS,10,0 days 00:01:48.253000,4.0,1.0,,,0 days 00:00:32.078000,0 days 00:00:36.290000,0 days 00:00:39.885000,0 days 00:21:40.992000,0 days 00:22:17.282000,0 days 00:22:57.167000,164.0,205.0,280.0,250.0,True,MEDIUM,4.0,True,Alpine,0 days 00:21:08.914000,2023-11-17 04:36:08.915,12,,False,,False,True,16.7,66.0,943.7,False,18.8,233,1.0,Practice 1,Las Vegas Grand Prix
8,0 days 00:25:18.978000,GAS,10,,5.0,1.0,,0 days 00:25:18.978000,0 days 00:00:31.222000,,,0 days 00:23:28.652000,,,166.0,,,,False,MEDIUM,5.0,True,Alpine,0 days 00:22:57.167000,2023-11-17 04:37:57.168,25,,False,,False,False,16.9,66.0,943.7,False,18.8,222,1.2,Practice 1,Las Vegas Grand Prix
9,0 days 00:18:10.756000,PER,11,,1.0,1.0,0 days 00:16:16.503000,,,0 days 00:00:41.492000,0 days 00:00:41.379000,,0 days 00:17:29.595000,0 days 00:18:10.907000,141.0,186.0,229.0,248.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:16:16.503000,2023-11-17 04:31:16.504,1,,False,,False,False,16.7,66.0,943.7,False,18.8,226,0.0,Practice 1,Las Vegas Grand Prix
10,0 days 00:20:02.704000,PER,11,0 days 00:01:51.948000,2.0,1.0,,,0 days 00:00:32.721000,0 days 00:00:39.385000,0 days 00:00:39.842000,0 days 00:18:43.477000,0 days 00:19:22.862000,0 days 00:20:02.704000,161.0,194.0,246.0,276.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:18:10.756000,2023-11-17 04:33:10.757,1,,False,,False,True,16.7,66.0,943.7,False,18.7,214,0.6,Practice 1,Las Vegas Grand Prix
11,0 days 00:21:49.497000,PER,11,0 days 00:01:46.793000,3.0,1.0,,,0 days 00:00:31.568000,0 days 00:00:36.058000,0 days 00:00:39.167000,0 days 00:20:34.272000,0 days 00:21:10.330000,0 days 00:21:49.497000,170.0,200.0,283.0,270.0,True,MEDIUM,3.0,True,Red Bull Racing,0 days 00:20:02.704000,2023-11-17 04:35:02.705,1,,False,,False,True,16.7,66.0,943.7,False,18.7,227,0.8,Practice 1,Las Vegas Grand Prix
12,0 days 00:26:09.789000,PER,11,,4.0,1.0,,0 days 00:26:09.789000,0 days 00:00:30.293000,0 days 00:00:34.424000,,0 days 00:22:20.028000,0 days 00:22:54.418000,,172.0,204.0,,170.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 00:21:49.497000,2023-11-17 04:36:49.498,125,,False,,False,False,16.8,66.0,943.7,False,18.8,230,0.8,Practice 1,Las Vegas Grand Prix
13,0 days 00:23:14.074000,ALO,14,,1.0,1.0,0 days 00:21:25.247000,,,0 days 00:00:36.960000,0 days 00:00:41.802000,,0 days 00:22:32.293000,0 days 00:23:14.074000,156.0,195.0,252.0,273.0,False,SOFT,1.0,True,Aston Martin,0 days 00:21:25.247000,2023-11-17 04:36:25.248,12,,False,,False,False,16.7,66.0,943.7,False,18.8,233,1.0,Practice 1,Las Vegas Grand Prix
14,0 days 00:18:44.147000,LEC,16,,1.0,1.0,0 days 00:16:35.659000,,,0 days 00:00:41.192000,0 days 00:00:47.663000,,0 days 00:17:56.767000,0 days 00:18:44.219000,142.0,176.0,267.0,117.0,False,SOFT,1.0,True,Ferrari,0 days 00:16:35.659000,2023-11-17 04:31:35.660,1,,False,,False,False,16.7,66.0,943.7,False,18.7,232,0.5,Practice 1,Las Vegas Grand Prix
15,0 days 00:20:28.166000,LEC,16,0 days 00:01:44.019000,2.0,1.0,,,0 days 00:00:30.365000,0 days 00:00:34.809000,0 days 00:00:38.845000,0 days 00:19:14.512000,0 days 00:19:49.321000,0 days 00:20:28.166000,169.0,201.0,280.0,311.0,True,SOFT,2.0,True,Ferrari,0 days 00:18:44.147000,2023-11-17 04:33:44.148,1,,False,,False,True,16.7,66.0,943.7,False,18.7,233,0.8,Practice 1,Las Vegas Grand Prix
16,0 days 00:22:09.075000,LEC,16,0 days 00:01:40.909000,3.0,1.0,,,0 days 00:00:29.274000,0 days 00:00:33.623000,0 days 00:00:38.012000,0 days 00:20:57.440000,0 days 00:21:31.063000,0 days 00:22:09.075000,175.0,205.0,301.0,305.0,True,SOFT,3.0,True,Ferrari,0 days 00:20:28.166000,2023-11-17 04:35:28.167,1,,False,,False,True,16.7,66.0,943.7,False,18.8,233,1.0,Practice 1,Las Vegas Grand Prix
