,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Event_Name
0,0 days 00:19:41.264000,24.4,17.0,1017.5,False,29.1,0,0.0,Bahrain Grand Prix
1,0 days 00:27:41.318000,24.3,15.0,1017.5,False,28.9,352,0.8,Bahrain Grand Prix
2,0 days 00:29:41.347000,24.3,16.0,1017.5,False,28.7,344,0.6,Bahrain Grand Prix
3,0 days 00:31:41.344000,24.3,16.0,1017.5,False,28.7,333,0.4,Bahrain Grand Prix
4,0 days 00:33:41.374000,24.4,16.0,1017.5,False,28.7,124,0.3,Bahrain Grand Prix
5,0 days 00:40:41.382000,24.1,15.0,1017.5,False,28.4,13,0.5,Bahrain Grand Prix
6,0 days 00:42:41.379000,24.0,16.0,1017.7,False,28.4,0,0.6,Bahrain Grand Prix
7,0 days 00:54:41.491000,23.8,20.0,1017.7,False,27.8,342,0.5,Bahrain Grand Prix
8,0 days 00:55:41.490000,23.8,20.0,1017.7,False,27.8,238,0.0,Bahrain Grand Prix
9,0 days 00:57:41.472000,23.9,20.0,1017.9,False,27.7,0,0.0,Bahrain Grand Prix
10,0 days 01:14:41.501000,23.2,30.0,1017.7,False,27.0,322,0.8,Bahrain Grand Prix
11,0 days 01:16:41.514000,23.1,31.0,1017.7,False,26.8,334,0.8,Bahrain Grand Prix
12,0 days 01:18:41.512000,23.1,32.0,1017.7,False,26.8,343,1.0,Bahrain Grand Prix
13,0 days 01:22:41.555000,23.1,33.0,1017.7,False,26.7,331,0.8,Bahrain Grand Prix
14,0 days 01:24:41.599000,23.1,33.0,1017.7,False,26.6,293,0.8,Bahrain Grand Prix
15,0 days 00:19:41.264000,24.4,17.0,1017.5,False,29.1,0,0.0,Bahrain Grand Prix
16,0 days 00:28:41.332000,24.3,16.0,1017.5,False,28.7,319,0.6,Bahrain Grand Prix
17,0 days 00:30:41.346000,24.2,16.0,1017.5,False,28.7,352,0.6,Bahrain Grand Prix
18,0 days 00:32:41.343000,24.3,16.0,1017.5,False,28.6,130,0.8,Bahrain Grand Prix
19,0 days 00:34:41.372000,24.4,16.0,1017.7,False,28.6,0,0.5,Bahrain Grand Prix
20,0 days 00:40:41.382000,24.1,15.0,1017.5,False,28.4,13,0.5,Bahrain Grand Prix
21,0 days 00:42:41.379000,24.0,16.0,1017.7,False,28.4,0,0.6,Bahrain Grand Prix
22,0 days 00:54:41.491000,23.8,20.0,1017.7,False,27.8,342,0.5,Bahrain Grand Prix
23,0 days 00:55:41.490000,23.8,20.0,1017.7,False,27.8,238,0.0,Bahrain Grand Prix
24,0 days 00:57:41.472000,23.9,20.0,1017.9,False,27.7,0,0.0,Bahrain Grand Prix
25,0 days 01:14:41.501000,23.2,30.0,1017.7,False,27.0,322,0.8,Bahrain Grand Prix
26,0 days 01:16:41.514000,23.1,31.0,1017.7,False,26.8,334,0.8,Bahrain Grand Prix
27,0 days 01:18:41.512000,23.1,32.0,1017.7,False,26.8,343,1.0,Bahrain Grand Prix
28,0 days 01:22:41.555000,23.1,33.0,1017.7,False,26.7,331,0.8,Bahrain Grand Prix
29,0 days 01:24:41.599000,23.1,33.0,1017.7,False,26.6,293,0.8,Bahrain Grand Prix
30,0 days 00:15:41.252000,24.3,17.0,1017.5,False,29.0,316,0.4,Bahrain Grand Prix
31,0 days 00:17:41.266000,24.4,16.0,1017.5,False,29.1,109,0.0,Bahrain Grand Prix
32,0 days 00:19:41.264000,24.4,17.0,1017.5,False,29.1,0,0.0,Bahrain Grand Prix
33,0 days 00:28:41.332000,24.3,16.0,1017.5,False,28.7,319,0.6,Bahrain Grand Prix
34,0 days 00:30:41.346000,24.2,16.0,1017.5,False,28.7,352,0.6,Bahrain Grand Prix
35,0 days 00:31:41.344000,24.3,16.0,1017.5,False,28.7,333,0.4,Bahrain Grand Prix
36,0 days 00:34:41.372000,24.4,16.0,1017.7,False,28.6,0,0.5,Bahrain Grand Prix
37,0 days 00:40:41.382000,24.1,15.0,1017.5,False,28.4,13,0.5,Bahrain Grand Prix
38,0 days 00:42:41.379000,24.0,16.0,1017.7,False,28.4,0,0.6,Bahrain Grand Prix
39,0 days 00:53:41.477000,23.8,20.0,1017.7,False,27.9,123,0.6,Bahrain Grand Prix
40,0 days 00:55:41.490000,23.8,20.0,1017.7,False,27.8,238,0.0,Bahrain Grand Prix
41,0 days 00:57:41.472000,23.9,20.0,1017.9,False,27.7,0,0.0,Bahrain Grand Prix
42,0 days 01:02:41.514000,23.6,21.0,1017.7,False,27.6,310,0.8,Bahrain Grand Prix
43,0 days 01:03:41.513000,23.6,23.0,1017.7,False,27.5,294,0.6,Bahrain Grand Prix
44,0 days 01:06:41.510000,23.6,26.0,1017.7,False,27.3,0,0.0,Bahrain Grand Prix
45,0 days 01:14:41.501000,23.2,30.0,1017.7,False,27.0,322,0.8,Bahrain Grand Prix
46,0 days 01:16:41.514000,23.1,31.0,1017.7,False,26.8,334,0.8,Bahrain Grand Prix
47,0 days 00:15:41.252000,24.3,17.0,1017.5,False,29.0,316,0.4,Bahrain Grand Prix
48,0 days 00:17:41.266000,24.4,16.0,1017.5,False,29.1,109,0.0,Bahrain Grand Prix
49,0 days 00:19:41.264000,24.4,17.0,1017.5,False,29.1,0,0.0,Bahrain Grand Prix
50,0 days 00:28:41.332000,24.3,16.0,1017.5,False,28.7,319,0.6,Bahrain Grand Prix
51,0 days 00:30:41.346000,24.2,16.0,1017.5,False,28.7,352,0.6,Bahrain Grand Prix
52,0 days 00:32:41.343000,24.3,16.0,1017.5,False,28.6,130,0.8,Bahrain Grand Prix
53,0 days 00:34:41.372000,24.4,16.0,1017.7,False,28.6,0,0.5,Bahrain Grand Prix
54,0 days 00:53:41.477000,23.8,20.0,1017.7,False,27.9,123,0.6,Bahrain Grand Prix
55,0 days 00:55:41.490000,23.8,20.0,1017.7,False,27.8,238,0.0,Bahrain Grand Prix
56,0 days 00:57:41.472000,23.9,20.0,1017.9,False,27.7,0,0.0,Bahrain Grand Prix
57,0 days 01:02:41.514000,23.6,21.0,1017.7,False,27.6,310,0.8,Bahrain Grand Prix
58,0 days 01:04:41.543000,23.6,24.0,1017.7,False,27.4,90,0.5,Bahrain Grand Prix
59,0 days 01:06:41.510000,23.6,26.0,1017.7,False,27.3,0,0.0,Bahrain Grand Prix
60,0 days 01:15:41.500000,23.1,31.0,1017.7,False,26.9,338,1.3,Bahrain Grand Prix
61,0 days 01:16:41.514000,23.1,31.0,1017.7,False,26.8,334,0.8,Bahrain Grand Prix
62,0 days 01:18:41.512000,23.1,32.0,1017.7,False,26.8,343,1.0,Bahrain Grand Prix
63,0 days 01:22:41.555000,23.1,33.0,1017.7,False,26.7,331,0.8,Bahrain Grand Prix
64,0 days 01:24:41.599000,23.1,33.0,1017.7,False,26.6,293,0.8,Bahrain Grand Prix
65,0 days 00:27:41.318000,24.3,15.0,1017.5,False,28.9,352,0.8,Bahrain Grand Prix
66,0 days 00:29:41.347000,24.3,16.0,1017.5,False,28.7,344,0.6,Bahrain Grand Prix
67,0 days 00:31:41.344000,24.3,16.0,1017.5,False,28.7,333,0.4,Bahrain Grand Prix
68,0 days 00:33:41.374000,24.4,16.0,1017.5,False,28.7,124,0.3,Bahrain Grand Prix
69,0 days 00:39:41.383000,24.1,16.0,1017.5,False,28.6,77,0.5,Bahrain Grand Prix
70,0 days 00:41:41.380000,24.1,15.0,1017.7,False,28.4,291,0.8,Bahrain Grand Prix
71,0 days 00:43:41.378000,24.1,16.0,1017.7,False,28.3,0,0.4,Bahrain Grand Prix
72,0 days 00:53:41.477000,23.8,20.0,1017.7,False,27.9,123,0.6,Bahrain Grand Prix
73,0 days 00:54:41.491000,23.8,20.0,1017.7,False,27.8,342,0.5,Bahrain Grand Prix
74,0 days 00:56:41.474000,23.9,20.0,1017.7,False,27.7,0,0.4,Bahrain Grand Prix
75,0 days 01:02:41.514000,23.6,21.0,1017.7,False,27.6,310,0.8,Bahrain Grand Prix
76,0 days 01:03:41.513000,23.6,23.0,1017.7,False,27.5,294,0.6,Bahrain Grand Prix
77,0 days 01:05:41.511000,23.6,26.0,1017.7,False,27.4,0,0.5,Bahrain Grand Prix
78,0 days 01:18:41.512000,23.1,32.0,1017.7,False,26.8,343,1.0,Bahrain Grand Prix
79,0 days 01:20:41.588000,23.1,33.0,1017.9,False,26.8,319,1.2,Bahrain Grand Prix
80,0 days 00:28:41.332000,24.3,16.0,1017.5,False,28.7,319,0.6,Bahrain Grand Prix
81,0 days 00:30:41.346000,24.2,16.0,1017.5,False,28.7,352,0.6,Bahrain Grand Prix
82,0 days 00:32:41.343000,24.3,16.0,1017.5,False,28.6,130,0.8,Bahrain Grand Prix
83,0 days 00:34:41.372000,24.4,16.0,1017.7,False,28.6,0,0.5,Bahrain Grand Prix
84,0 days 00:40:41.382000,24.1,15.0,1017.5,False,28.4,13,0.5,Bahrain Grand Prix
85,0 days 00:42:41.379000,24.0,16.0,1017.7,False,28.4,0,0.6,Bahrain Grand Prix
86,0 days 00:43:41.378000,24.1,16.0,1017.7,False,28.3,0,0.4,Bahrain Grand Prix
