DriverNumber,Driver,DriverId,TeamName,TeamColor,TeamId,Position,Event_Name,Q1_time (s),Q2_time (s),Q3_time (s)
1,VER,max_verstappen,Red Bull Racing,3671C6,red_bull,1.0,Bahrain Grand Prix,91.295,90.503,89.70800000000001
11,PER,perez,Red Bull Racing,3671C6,red_bull,2.0,Bahrain Grand Prix,91.479,90.74600000000001,89.846
16,LEC,leclerc,Ferrari,F91536,ferrari,3.0,Bahrain Grand Prix,91.09400000000001,90.28200000000001,90.0
55,SAI,sainz,Ferrari,F91536,ferrari,4.0,Bahrain Grand Prix,90.99300000000001,90.515,90.15400000000001
14,ALO,alonso,Aston Martin,358C75,aston_martin,5.0,Bahrain Grand Prix,91.158,90.64500000000001,90.336
63,RUS,russell,Mercedes,6CD3BF,mercedes,6.0,Bahrain Grand Prix,91.057,90.507,90.34
44,HAM,hamilton,Mercedes,6CD3BF,mercedes,7.0,Bahrain Grand Prix,91.543,90.513,90.384
18,STR,stroll,Aston Martin,358C75,aston_martin,8.0,Bahrain Grand Prix,91.18400000000001,91.12700000000001,90.83600000000001
31,OCO,ocon,Alpine,2293D1,alpine,9.0,Bahrain Grand Prix,91.50800000000001,90.914,90.98400000000001
27,HUL,hulkenberg,Haas F1 Team,B6BABD,haas,10.0,Bahrain Grand Prix,91.20400000000001,90.80900000000001,
4,NOR,norris,McLaren,F58020,mclaren,11.0,Bahrain Grand Prix,91.652,91.381,
77,BOT,bottas,Alfa Romeo,C92D4B,alfa,12.0,Bahrain Grand Prix,91.504,91.44300000000001,
24,ZHO,zhou,Alfa Romeo,C92D4B,alfa,13.0,Bahrain Grand Prix,91.61500000000001,91.473,
22,TSU,tsunoda,AlphaTauri,5E8FAA,alphatauri,14.0,Bahrain Grand Prix,91.4,92.51,
23,ALB,albon,Williams,37BEDD,williams,15.0,Bahrain Grand Prix,91.46100000000001,,
2,SAR,sargeant,Williams,37BEDD,williams,16.0,Bahrain Grand Prix,91.652,,
20,MAG,kevin_magnussen,Haas F1 Team,B6BABD,haas,17.0,Bahrain Grand Prix,91.89200000000001,,
81,PIA,piastri,McLaren,F58020,mclaren,18.0,Bahrain Grand Prix,92.101,,
21,DEV,de_vries,AlphaTauri,5E8FAA,alphatauri,19.0,Bahrain Grand Prix,92.12100000000001,,
10,GAS,gasly,Alpine,2293D1,alpine,20.0,Bahrain Grand Prix,92.18100000000001,,
11,PER,perez,Red Bull Racing,3671C6,red_bull,1.0,Saudi Arabian Grand Prix,89.244,88.635,88.265
16,LEC,leclerc,Ferrari,F91536,ferrari,2.0,Saudi Arabian Grand Prix,89.376,88.903,88.42
14,ALO,alonso,Aston Martin,358C75,aston_martin,3.0,Saudi Arabian Grand Prix,89.298,88.757,88.73
63,RUS,russell,Mercedes,6CD3BF,mercedes,4.0,Saudi Arabian Grand Prix,89.592,89.132,88.857
55,SAI,sainz,Ferrari,F91536,ferrari,5.0,Saudi Arabian Grand Prix,89.411,88.95700000000001,88.93100000000001
18,STR,stroll,Aston Martin,358C75,aston_martin,6.0,Saudi Arabian Grand Prix,89.33500000000001,88.962,88.94500000000001
