,DriverNumber,Abbreviation,DriverId,TeamName,TeamColor,TeamId,Position,ClassifiedPosition,Q1,Q2,Q3,Time,Event_Name
0,16,LEC,leclerc,Ferrari,ed1c24,ferrari,1.0,,0 days 00:01:31.471000,0 days 00:01:30.932000,0 days 00:01:30.558000,,Bahrain Grand Prix
1,1,VER,max_verstappen,Red Bull Racing,1e5bc6,red_bull,2.0,,0 days 00:01:31.785000,0 days 00:01:30.757000,0 days 00:01:30.681000,,Bahrain Grand Prix
2,55,SAI,sainz,Ferrari,ed1c24,ferrari,3.0,,0 days 00:01:31.567000,0 days 00:01:30.787000,0 days 00:01:30.687000,,Bahrain Grand Prix
3,11,PER,perez,Red Bull Racing,1e5bc6,red_bull,4.0,,0 days 00:01:32.311000,0 days 00:01:31.008000,0 days 00:01:30.921000,,Bahrain Grand Prix
4,44,HAM,hamilton,Mercedes,6cd3bf,mercedes,5.0,,0 days 00:01:32.285000,0 days 00:01:31.048000,0 days 00:01:31.238000,,Bahrain Grand Prix
5,77,BOT,bottas,Alfa Romeo,b12039,alfa,6.0,,0 days 00:01:31.919000,0 days 00:01:31.717000,0 days 00:01:31.560000,,Bahrain Grand Prix
6,20,MAG,kevin_magnussen,Haas F1 Team,b6babd,haas,7.0,,0 days 00:01:31.955000,0 days 00:01:31.461000,0 days 00:01:31.808000,,Bahrain Grand Prix
7,14,ALO,alonso,Alpine,2293d1,alpine,8.0,,0 days 00:01:32.346000,0 days 00:01:31.621000,0 days 00:01:32.195000,,Bahrain Grand Prix
8,63,RUS,russell,Mercedes,6cd3bf,mercedes,9.0,,0 days 00:01:32.269000,0 days 00:01:31.252000,0 days 00:01:32.216000,,Bahrain Grand Prix
9,10,GAS,gasly,AlphaTauri,4e7c9b,alphatauri,10.0,,0 days 00:01:32.096000,0 days 00:01:31.635000,0 days 00:01:32.338000,,Bahrain Grand Prix
10,31,OCO,ocon,Alpine,2293d1,alpine,11.0,,0 days 00:01:32.041000,0 days 00:01:31.782000,,,Bahrain Grand Prix
11,47,MSC,mick_schumacher,Haas F1 Team,b6babd,haas,12.0,,0 days 00:01:32.380000,0 days 00:01:31.998000,,,Bahrain Grand Prix
12,4,NOR,norris,McLaren,f58020,mclaren,13.0,,0 days 00:01:32.239000,0 days 00:01:32.008000,,,Bahrain Grand Prix
13,23,ALB,albon,Williams,37bedd,williams,14.0,,0 days 00:01:32.726000,0 days 00:01:32.664000,,,Bahrain Grand Prix
14,24,ZHO,zhou,Alfa Romeo,b12039,alfa,15.0,,0 days 00:01:32.493000,0 days 00:01:33.543000,,,Bahrain Grand Prix
15,22,TSU,tsunoda,AlphaTauri,4e7c9b,alphatauri,16.0,,0 days 00:01:32.750000,,,,Bahrain Grand Prix
16,27,HUL,hulkenberg,Aston Martin,2d826d,aston_martin,17.0,,0 days 00:01:32.777000,,,,Bahrain Grand Prix
17,3,RIC,ricciardo,McLaren,f58020,mclaren,18.0,,0 days 00:01:32.945000,,,,Bahrain Grand Prix
18,18,STR,stroll,Aston Martin,2d826d,aston_martin,19.0,,0 days 00:01:33.032000,,,,Bahrain Grand Prix
19,6,LAT,latifi,Williams,37bedd,williams,20.0,,0 days 00:01:33.634000,,,,Bahrain Grand Prix
20,11,PER,perez,Red Bull Racing,1e5bc6,red_bull,1.0,,0 days 00:01:29.705000,0 days 00:01:28.924000,0 days 00:01:28.200000,,Saudi Arabian Grand Prix
21,16,LEC,leclerc,Ferrari,ed1c24,ferrari,2.0,,0 days 00:01:29.039000,0 days 00:01:28.780000,0 days 00:01:28.225000,,Saudi Arabian Grand Prix
22,55,SAI,sainz,Ferrari,ed1c24,ferrari,3.0,,0 days 00:01:28.855000,0 days 00:01:28.686000,0 days 00:01:28.402000,,Saudi Arabian Grand Prix
23,1,VER,max_verstappen,Red Bull Racing,1e5bc6,red_bull,4.0,,0 days 00:01:28.928000,0 days 00:01:28.945000,0 days 00:01:28.461000,,Saudi Arabian Grand Prix
24,31,OCO,ocon,Alpine,2293d1,alpine,5.0,,0 days 00:01:30.093000,0 days 00:01:29.584000,0 days 00:01:29.068000,,Saudi Arabian Grand Prix
25,63,RUS,russell,Mercedes,6cd3bf,mercedes,6.0,,0 days 00:01:29.680000,0 days 00:01:29.618000,0 days 00:01:29.104000,,Saudi Arabian Grand Prix
26,14,ALO,alonso,Alpine,2293d1,alpine,7.0,,0 days 00:01:29.978000,0 days 00:01:29.295000,0 days 00:01:29.147000,,Saudi Arabian Grand Prix
27,77,BOT,bottas,Alfa Romeo,b12039,alfa,8.0,,0 days 00:01:29.683000,0 days 00:01:29.404000,0 days 00:01:29.183000,,Saudi Arabian Grand Prix
28,10,GAS,gasly,AlphaTauri,4e7c9b,alphatauri,9.0,,0 days 00:01:29.891000,0 days 00:01:29.418000,0 days 00:01:29.254000,,Saudi Arabian Grand Prix
29,20,MAG,kevin_magnussen,Haas F1 Team,b6babd,haas,10.0,,0 days 00:01:29.831000,0 days 00:01:29.546000,0 days 00:01:29.588000,,Saudi Arabian Grand Prix
30,4,NOR,norris,McLaren,f58020,mclaren,11.0,,0 days 00:01:29.957000,0 days 00:01:29.651000,,,Saudi Arabian Grand Prix
31,3,RIC,ricciardo,McLaren,f58020,mclaren,12.0,,0 days 00:01:30.009000,0 days 00:01:29.773000,,,Saudi Arabian Grand Prix
32,24,ZHO,zhou,Alfa Romeo,b12039,alfa,13.0,,0 days 00:01:29.978000,0 days 00:01:29.819000,,,Saudi Arabian Grand Prix
33,47,MSC,mick_schumacher,Haas F1 Team,b6babd,haas,14.0,,0 days 00:01:30.167000,0 days 00:01:29.920000,,,Saudi Arabian Grand Prix
34,18,STR,stroll,Aston Martin,2d826d,aston_martin,15.0,,0 days 00:01:30.256000,0 days 00:01:31.009000,,,Saudi Arabian Grand Prix
35,44,HAM,hamilton,Mercedes,6cd3bf,mercedes,16.0,,0 days 00:01:30.343000,,,,Saudi Arabian Grand Prix
36,23,ALB,albon,Williams,37bedd,williams,17.0,,0 days 00:01:30.492000,,,,Saudi Arabian Grand Prix
37,27,HUL,hulkenberg,Aston Martin,2d826d,aston_martin,18.0,,0 days 00:01:30.543000,,,,Saudi Arabian Grand Prix
38,6,LAT,latifi,Williams,37bedd,williams,19.0,,0 days 00:01:31.817000,,,,Saudi Arabian Grand Prix
39,22,TSU,tsunoda,AlphaTauri,4e7c9b,alphatauri,20.0,,,,,,Saudi Arabian Grand Prix
40,16,LEC,leclerc,Ferrari,ed1c24,ferrari,1.0,,0 days 00:01:18.881000,0 days 00:01:18.606000,0 days 00:01:17.868000,,Australian Grand Prix
41,1,VER,max_verstappen,Red Bull Racing,1e5bc6,red_bull,2.0,,0 days 00:01:18.580000,0 days 00:01:18.611000,0 days 00:01:18.154000,,Australian Grand Prix
42,11,PER,perez,Red Bull Racing,1e5bc6,red_bull,3.0,,0 days 00:01:18.834000,0 days 00:01:18.340000,0 days 00:01:18.240000,,Australian Grand Prix
43,4,NOR,norris,McLaren,f58020,mclaren,4.0,,0 days 00:01:19.280000,0 days 00:01:19.066000,0 days 00:01:18.703000,,Australian Grand Prix
44,44,HAM,hamilton,Mercedes,6cd3bf,mercedes,5.0,,0 days 00:01:19.401000,0 days 00:01:19.106000,0 days 00:01:18.825000,,Australian Grand Prix
45,63,RUS,russell,Mercedes,6cd3bf,mercedes,6.0,,0 days 00:01:19.405000,0 days 00:01:19.076000,0 days 00:01:18.933000,,Australian Grand Prix
46,3,RIC,ricciardo,McLaren,f58020,mclaren,7.0,,0 days 00:01:19.665000,0 days 00:01:19.130000,0 days 00:01:19.032000,,Australian Grand Prix
47,31,OCO,ocon,Alpine,2293d1,alpine,8.0,,0 days 00:01:19.605000,0 days 00:01:19.136000,0 days 00:01:19.061000,,Australian Grand Prix
48,55,SAI,sainz,Ferrari,ed1c24,ferrari,9.0,,0 days 00:01:18.983000,0 days 00:01:18.469000,0 days 00:01:19.408000,,Australian Grand Prix
49,14,ALO,alonso,Alpine,2293d1,alpine,10.0,,0 days 00:01:19.192000,0 days 00:01:18.815000,,,Australian Grand Prix
50,10,GAS,gasly,AlphaTauri,4e7c9b,alphatauri,11.0,,0 days 00:01:19.580000,0 days 00:01:19.226000,,,Australian Grand Prix
51,77,BOT,bottas,Alfa Romeo,b12039,alfa,12.0,,0 days 00:01:19.251000,0 days 00:01:19.410000,,,Australian Grand Prix
52,22,TSU,tsunoda,AlphaTauri,4e7c9b,alphatauri,13.0,,0 days 00:01:19.742000,0 days 00:01:19.424000,,,Australian Grand Prix
53,24,ZHO,zhou,Alfa Romeo,b12039,alfa,14.0,,0 days 00:01:19.910000,0 days 00:01:20.155000,,,Australian Grand Prix
54,47,MSC,mick_schumacher,Haas F1 Team,b6babd,haas,15.0,,0 days 00:01:20.104000,0 days 00:01:20.465000,,,Australian Grand Prix
55,23,ALB,albon,Williams,37bedd,williams,16.0,,0 days 00:01:20.135000,,,,Australian Grand Prix
